Date,Price,Change,% Change
10/31/25,152.45,0.61,0.40
10/30/25,151.84,1.78,1.19
10/29/25,150.06,0.19,0.13
10/28/25,149.87,-0.86,-0.57
10/27/25,150.73,-1.51,-0.99
10/24/25,152.25,0.43,0.29
10/23/25,151.81,-0.51,-0.34
10/22/25,152.33,-0.08,-0.05
10/21/25,152.41,0.98,0.65
10/20/25,151.43,-0.35,-0.23
10/17/25,151.77,0.58,0.38
10/16/25,151.19,-0.41,-0.27
10/15/25,151.60,-1.14,-0.75
10/14/25,152.74,0.32,0.21
10/13/25,152.43,1.05,0.69
10/10/25,151.38,-0.27,-0.17
10/09/25,151.64,1.37,0.91
10/08/25,150.27,0.65,0.43
10/07/25,149.62,1.37,0.92
10/06/25,148.26,0.27,0.18
10/03/25,147.99,-0.57,-0.38
10/02/25,148.56,0.74,0.50
10/01/25,147.82,0.29,0.19
09/30/25,147.53,-1.34,-0.90
09/29/25,148.87,-1.15,-0.77
09/26/25,150.02,-0.49,-0.32
09/25/25,150.51,2.02,1.36
09/24/25,148.48,1.24,0.84
09/23/25,147.25,-0.45,-0.31
09/22/25,147.70,-0.29,-0.20
09/19/25,147.99,0.79,0.54
09/18/25,147.20,1.97,1.36
09/17/25,145.23,0.50,0.35
09/16/25,144.73,-1.38,-0.95
09/15/25,146.11,-0.73,-0.49
09/12/25,146.84,0.14,0.09
09/11/25,146.70,-0.82,-0.55
09/10/25,147.51,-0.80,-0.54
09/09/25,148.31,0.30,0.21
09/08/25,148.01,-1.10,-0.74
09/05/25,149.10,-2.04,-1.35
09/04/25,151.14,1.17,0.78
09/03/25,149.97,-0.87,-0.58
09/02/25,150.85,1.46,0.98
08/29/25,149.38,-0.51,-0.34
08/28/25,149.89,-1.56,-1.03
08/27/25,151.45,0.21,0.14
08/26/25,151.24,-0.19,-0.12
08/25/25,151.43,0.94,0.62
08/22/25,150.49,-2.96,-1.93
08/21/25,153.46,0.72,0.47
08/20/25,152.74,0.73,0.48
08/19/25,152.01,0.68,0.45
08/18/25,151.33,1.26,0.84
08/15/25,150.07,-1.03,-0.68
08/14/25,151.10,1.78,1.20
08/13/25,149.32,-1.22,-0.81
08/12/25,150.54,-0.90,-0.60
08/11/25,151.44,0.95,0.63
08/08/25,150.49,-1.00,-0.66
08/07/25,151.49,0.31,0.20
08/06/25,151.18,-1.70,-1.11
08/05/25,152.88,0.24,0.16
08/04/25,152.63,-0.80,-0.52
08/01/25,153.43,-1.83,-1.18
07/31/25,155.27,0.78,0.50
07/30/25,154.49,2.52,1.66
07/29/25,151.97,0.89,0.59
07/28/25,151.08,2.22,1.49
07/25/25,148.86,1.49,1.01
07/24/25,147.37,-0.22,-0.15
07/23/25,147.60,-1.17,-0.79
07/22/25,148.77,-1.19,-0.79
07/21/25,149.95,-0.99,-0.65
07/18/25,150.94,-1.47,-0.97
07/17/25,152.41,1.24,0.82
07/16/25,151.17,-0.09,-0.06
07/15/25,151.26,1.64,1.09
07/14/25,149.63,0.77,0.52
07/11/25,148.86,-0.03,-0.02
07/10/25,148.89,-0.46,-0.31
07/09/25,149.35,-0.30,-0.20
07/08/25,149.64,0.01,0.01
07/07/25,149.64,1.56,1.06
07/03/25,148.07,0.63,0.43
07/02/25,147.45,0.14,0.09
07/01/25,147.31,-0.51,-0.35
06/30/25,147.82,-1.38,-0.93
06/27/25,149.20,0.85,0.58
06/26/25,148.35,-2.09,-1.39
06/25/25,150.44,0.06,0.04
06/24/25,150.38,-2.66,-1.74
06/23/25,153.03,0.39,0.26
06/20/25,152.64,0.87,0.57
06/18/25,151.78,-0.03,-0.02
06/17/25,151.81,1.98,1.32
06/16/25,149.83,-1.23,-0.82
06/13/25,151.06,1.05,0.70
06/12/25,150.01,-1.27,-0.84
06/11/25,151.29,-0.58,-0.38
06/10/25,151.86,0.12,0.08
06/09/25,151.75,-1.17,-0.77
06/06/25,152.92,1.56,1.03
06/05/25,151.36,-0.61,-0.40
06/04/25,151.97,-1.43,-0.93
06/03/25,153.40,1.51,0.99
06/02/25,151.89,-2.45,-1.59
05/30/25,154.35,0.27,0.18
05/29/25,154.07,-1.40,-0.90
05/28/25,155.47,0.97,0.63
05/27/25,154.50,1.40,0.91
05/23/25,153.10,-2.72,-1.74
05/22/25,155.82,1.68,1.09
05/21/25,154.14,-2.22,-1.42
05/20/25,156.36,0.83,0.53
05/19/25,155.53,-2.51,-1.59
05/16/25,158.04,0.51,0.32
05/15/25,157.54,1.09,0.70
05/14/25,156.44,0.10,0.07
05/13/25,156.34,-3.34,-2.09
05/12/25,159.68,3.43,2.19
05/09/25,156.25,-0.71,-0.45
05/08/25,156.97,2.98,1.94
05/07/25,153.99,0.83,0.54
05/06/25,153.16,-0.87,-0.56
05/05/25,154.02,-0.64,-0.41
05/02/25,154.67,-2.35,-1.50
05/01/25,157.02,1.56,1.01
04/30/25,155.46,-0.10,-0.06
04/29/25,155.56,1.39,0.90
04/28/25,154.16,-1.48,-0.95
04/25/25,155.64,0.35,0.23
04/24/25,155.29,-0.49,-0.31
04/23/25,155.78,0.96,0.62
04/22/25,154.81,1.70,1.11
04/21/25,153.12,-2.96,-1.90
04/17/25,156.08,0.35,0.22
04/16/25,155.73,-1.51,-0.96
04/15/25,157.24,-0.21,-0.13
04/14/25,157.45,-3.06,-1.91
04/11/25,160.51,-1.02,-0.63
04/10/25,161.53,-10.04,-5.85
04/09/25,171.57,0.73,0.43
04/08/25,170.84,-0.94,-0.55
04/07/25,171.78,1.73,1.02
04/04/25,170.05,9.85,6.15
04/03/25,160.20,-4.53,-2.75
04/02/25,164.73,-1.43,-0.86
04/01/25,166.16,-1.07,-0.64
03/31/25,167.23,2.04,1.24
03/28/25,165.19,-0.23,-0.14
03/27/25,165.41,-0.40,-0.24
03/26/25,165.82,0.64,0.39
03/25/25,165.17,-0.87,-0.53
03/24/25,166.05,-0.11,-0.06
03/21/25,166.16,1.30,0.79
03/20/25,164.86,1.48,0.90
03/19/25,163.38,0.91,0.56
03/18/25,162.47,0.29,0.18
03/17/25,162.19,-2.00,-1.22
03/14/25,164.19,-0.96,-0.58
03/13/25,165.15,0.81,0.50
03/12/25,164.33,-0.90,-0.54
03/11/25,165.23,0.46,0.28
03/10/25,164.77,0.30,0.18
03/07/25,164.47,0.62,0.38
03/06/25,163.85,-1.53,-0.93
03/05/25,165.38,-4.99,-2.93
03/04/25,170.37,-0.65,-0.38
03/03/25,171.03,-2.03,-1.17
02/28/25,173.05,1.64,0.96
02/27/25,171.41,2.94,1.74
02/26/25,168.47,0.62,0.37
02/25/25,167.85,0.10,0.06
02/24/25,167.75,0.51,0.31
02/21/25,167.23,0.90,0.54
02/20/25,166.34,-2.45,-1.45
02/19/25,168.79,0.27,0.16
02/18/25,168.52,0.82,0.49
02/14/25,167.70,-2.69,-1.58
02/13/25,170.39,-1.63,-0.95
02/12/25,172.03,0.34,0.20
02/11/25,171.68,-0.68,-0.39
02/10/25,172.36,0.09,0.05
02/07/25,172.27,0.78,0.45
02/06/25,171.49,0.56,0.33
02/05/25,170.94,-1.81,-1.05
02/04/25,172.75,-3.18,-1.81
02/03/25,175.93,2.19,1.26
01/31/25,173.74,0.81,0.47
01/30/25,172.93,-0.49,-0.28
01/29/25,173.42,0.69,0.40
01/28/25,172.74,1.93,1.13
01/27/25,170.80,0.89,0.53
01/24/25,169.91,-2.34,-1.36
