Month,Contract,FND
January,HGF24,12/29/2023
February,HGG24,1/31/2024
March,HGH24,2/29/2024
April,HGJ24,3/28/2024
May,HGK24,4/30/2024
June,HGM24,5/31/2024
July,HGN24,6/28/2024
August,HGQ24,7/31/2024
September,HGU24,8/30/2024
October,HGV24,9/30/2024
November,HGX24,10/31/2024
December,HGZ24,11/29/2024
January,HGF25,12/31/2024
February,HGG25,1/31/2025
March,HGH25,2/28/2025
April,HGJ25,3/31/2025
May,HGK25,4/30/2025
June,HGM25,5/30/2025
July,HGN25,6/30/2025
August,HGQ25,7/31/2025
September,HGU25,8/29/2025
October,HGV25,9/30/2025
November,HGX25,10/31/2025
December,HGZ25,11/28/2025
