Date,Settlement Price,High,Low,Last,Open,CVol,Bid,Ask,Open Interest
01/29/25,6.84,6.84,6.84,6.84,6.84,0.127,6.84,@NA,440.00
01/28/25,6.76,6.80,6.76,6.76,6.78,0.2,6.76,6.76,679.00
01/27/25,6.69,6.74,6.69,6.70,6.74,0.34,6.70,6.69,681.00
01/24/25,6.78,6.86,6.77,6.77,6.86,0.291,6.78,6.77,667.00
01/23/25,6.85,6.85,6.74,6.85,6.78,0.262,6.73,6.74,762.00
01/22/25,6.81,6.81,6.79,6.80,6.81,0.167,6.81,6.80,902.00
01/21/25,6.89,6.88,6.82,6.88,6.84,0.279,6.82,@NA,918.00
01/17/25,6.97,7.00,6.96,6.96,6.99,0.104,7.00,7.11,994.00
01/16/25,7.09,7.09,7.07,7.09,7.07,0.053,7.09,7.09,"1,026.00"
01/15/25,7.00,7.01,6.97,7.01,6.97,0.172,7.01,7.01,"1,115.00"
01/14/25,6.96,6.98,6.93,6.96,6.98,0.247,6.95,7.01,"1,193.00"
01/13/25,6.98,6.98,6.98,6.98,6.98,0.049,@NA,7.03,"1,287.00"
01/10/25,6.94,7.01,7.01,7.01,7.01,0.12,@NA,7.01,"1,454.00"
01/08/25,6.81,6.82,6.75,6.82,6.75,0.198,6.80,6.90,"1,887.00"
01/07/25,6.66,6.66,6.63,6.63,6.66,0.445,6.63,6.63,"2,638.00"
01/06/25,6.61,6.66,6.47,6.60,6.59,0.234,6.61,6.72,"2,803.00"
01/03/25,6.51,6.51,6.50,6.51,6.50,0.269,6.51,6.51,"2,815.00"
01/02/25,6.42,6.44,6.40,6.44,6.43,0.153,6.44,6.42,"3,106.00"
12/31/24,6.44,6.55,6.43,6.43,6.54,0.479,6.44,6.43,"4,130.00"
12/30/24,6.51,6.58,6.49,6.51,6.58,0.433,6.51,6.51,"4,461.00"
12/27/24,6.56,6.57,6.54,6.56,6.54,0.73,6.56,6.56,"4,652.00"
12/26/24,6.56,6.59,6.48,6.58,6.53,0.577,6.59,6.58,"4,672.00"
12/24/24,6.52,6.54,6.48,6.51,6.48,0.72,6.42,6.65,"4,689.00"
12/23/24,6.47,6.54,6.46,6.49,6.51,0.639,6.45,6.63,"4,667.00"
12/20/24,6.48,6.51,6.45,6.48,6.46,0.62,6.43,6.64,"4,861.00"
12/19/24,6.45,6.51,6.43,6.45,6.46,0.924,6.43,6.64,"5,036.00"
12/18/24,6.53,6.54,6.42,6.42,6.51,1.249,6.41,6.55,"4,834.00"
12/17/24,6.47,6.55,6.46,6.47,6.55,1.228,6.47,6.47,"4,899.00"
12/16/24,6.52,6.56,6.48,6.52,6.53,0.492,6.50,6.55,"5,033.00"
12/13/24,6.54,6.60,6.52,6.54,6.58,0.574,6.54,6.52,"5,223.00"
12/12/24,6.59,6.73,6.55,6.59,6.62,0.692,6.50,6.72,"5,390.00"
12/11/24,6.64,6.72,6.58,6.63,6.65,1.158,6.57,6.67,"5,369.00"
12/10/24,6.65,6.66,6.59,6.65,6.63,0.909,6.64,6.64,"5,525.00"
12/09/24,6.56,6.59,6.41,6.54,6.44,0.924,6.53,6.65,"5,461.00"
12/06/24,6.51,6.59,6.48,6.51,6.48,0.529,6.32,6.58,"5,513.00"
12/05/24,6.46,6.50,6.43,6.47,6.47,0.849,6.43,6.52,"5,478.00"
12/04/24,6.47,6.49,6.42,6.47,6.46,0.738,6.46,6.50,"5,536.00"
12/03/24,6.43,6.51,6.30,6.42,6.34,0.701,6.42,6.45,"5,431.00"
12/02/24,6.35,6.38,6.28,6.37,6.37,0.757,6.33,6.38,"5,444.00"
11/29/24,6.30,6.33,6.27,6.30,6.27,0.608,6.26,6.30,"5,373.00"
11/27/24,6.31,6.35,6.28,6.31,6.30,3.416,6.29,6.33,"4,162.00"
11/26/24,6.30,6.39,6.30,6.32,6.34,2.914,6.32,6.32,"2,763.00"
11/25/24,6.34,6.38,6.33,6.34,6.35,0.95,6.31,6.44,"2,461.00"
11/22/24,6.32,6.36,6.28,6.31,6.35,0.541,6.24,6.31,"2,392.00"
11/21/24,6.35,6.40,6.32,6.33,6.39,0.339,6.29,6.36,"2,477.00"
11/20/24,6.42,6.45,6.40,6.41,6.44,0.214,6.41,6.41,"2,448.00"
11/19/24,6.37,6.41,6.30,6.41,6.36,0.346,6.35,6.46,"2,494.00"
11/18/24,6.37,6.39,6.30,6.38,6.31,0.199,6.38,6.38,"2,495.00"
11/15/24,6.31,6.49,6.31,6.31,6.35,0.596,6.31,6.50,"2,448.00"
11/14/24,6.33,6.34,6.21,6.32,6.31,1.08,6.32,6.31,"2,308.00"
11/13/24,6.31,6.42,6.29,6.30,6.39,0.335,6.29,6.62,"2,247.00"
11/12/24,6.35,6.51,6.34,6.35,6.50,0.305,6.29,6.52,"2,216.00"
11/11/24,6.46,6.60,6.46,6.48,6.60,0.28,6.44,6.52,"2,133.00"
11/08/24,6.54,6.73,6.53,6.55,6.73,0.22,6.56,6.55,"2,066.00"
11/07/24,6.64,6.66,6.36,6.65,6.36,0.416,6.64,7.43,"2,046.00"
11/06/24,6.48,6.79,6.45,6.46,6.79,0.458,6.46,6.46,"2,062.00"
11/05/24,6.75,6.77,6.70,6.73,6.70,0.241,6.74,6.75,"2,064.00"
11/04/24,6.72,6.75,6.66,6.73,6.67,0.252,6.60,6.80,"1,976.00"
11/01/24,6.66,6.71,6.63,6.64,6.66,0.243,6.56,6.73,"1,918.00"
10/31/24,6.64,6.70,6.64,6.68,6.66,0.236,6.60,6.68,"1,893.00"
10/30/24,6.62,6.66,6.60,6.64,6.65,0.201,6.56,6.74,"1,855.00"
10/29/24,6.66,6.77,6.63,6.66,6.66,0.268,6.59,6.66,"1,897.00"
10/28/24,6.64,6.67,6.61,6.64,6.66,0.279,6.62,6.73,"1,807.00"
10/25/24,6.60,6.59,6.56,6.58,6.59,0.385,6.58,6.70,"1,827.00"
10/24/24,6.58,6.63,6.54,6.60,6.55,0.201,6.60,6.71,"1,769.00"
10/23/24,6.56,6.64,6.53,6.55,6.61,0.149,6.40,6.75,"1,804.00"
10/22/24,6.58,6.61,6.56,6.58,6.56,0.121,6.53,6.70,"1,805.00"
10/21/24,6.56,6.69,6.54,6.54,6.65,0.101,6.37,6.62,"1,806.00"
10/18/24,6.56,6.59,6.49,6.56,6.49,0.138,6.53,6.61,"1,753.00"
10/17/24,6.47,6.59,6.43,6.48,6.57,0.207,6.42,6.60,"1,825.00"
10/16/24,6.57,6.59,6.52,6.57,6.52,0.078,5.62,6.68,"1,781.00"
10/15/24,6.47,6.51,6.47,6.48,6.47,0.153,6.47,6.48,"1,708.00"
10/14/24,6.57,6.69,6.55,6.56,6.61,0.241,6.56,6.65,"1,817.00"
10/11/24,6.67,6.68,6.60,6.68,6.60,0.049,6.45,6.74,"1,793.00"
10/10/24,6.60,6.61,6.55,6.59,6.61,0.091,6.47,6.66,"1,746.00"
10/09/24,6.57,6.71,6.54,6.59,6.71,0.11,6.58,6.59,"1,711.00"
10/08/24,6.64,6.68,6.64,6.66,6.66,0.173,5.93,6.87,"1,699.00"
10/07/24,6.76,6.75,6.71,6.75,6.74,0.067,6.68,6.83,"1,668.00"
10/04/24,6.74,6.78,6.69,6.73,6.72,0.255,6.72,6.73,"1,493.00"
10/03/24,6.66,6.82,6.64,6.68,6.82,0.111,5.83,6.77,"1,461.00"
10/02/24,6.76,6.78,6.68,6.78,6.72,0.054,6.78,6.78,"1,412.00"
10/01/24,6.67,6.63,6.61,6.63,6.62,0.139,@NA,6.63,"1,394.00"
09/30/24,6.57,6.76,6.49,6.55,6.76,0.247,6.55,6.54,"1,440.00"
09/27/24,6.64,6.68,6.63,6.64,6.67,0.125,6.64,6.64,"1,421.00"
09/26/24,6.74,6.74,6.54,6.74,6.54,0.199,6.74,6.74,"1,404.00"
09/25/24,6.56,6.61,6.50,6.55,6.61,0.177,6.55,6.56,"1,408.00"
09/24/24,6.55,6.61,6.39,6.61,6.39,0.26,6.61,6.61,"1,324.00"
09/23/24,6.37,6.36,6.31,6.31,6.36,0.079,5.82,6.42,"1,329.00"
