Date,Settlement Price,High,Low,Last,Open,CVol,Bid,Ask,Open Interest
02/27/24,5.85,5.84,5.84,5.84,5.84,0.185,5.84,@NA,747.00
02/26/24,5.85,5.87,5.85,5.85,5.87,0.289,5.83,5.86,"1,023.00"
02/23/24,5.92,5.91,5.88,5.91,5.88,0.11,5.91,5.88,"1,100.00"
02/22/24,5.95,5.95,5.91,5.95,5.95,0.059,5.95,5.95,"1,145.00"
02/21/24,5.92,5.92,5.89,5.92,5.89,0.115,5.92,5.89,"1,210.00"
02/20/24,5.89,5.89,5.89,5.89,5.89,0.135,4.87,@NA,"1,343.00"
02/16/24,5.88,5.89,5.86,5.88,5.86,0.12,5.87,5.89,"1,450.00"
02/15/24,5.76,5.77,5.73,5.77,5.73,0.037,@NA,5.77,"1,484.00"
02/14/24,5.71,5.70,5.70,5.70,5.70,0.177,5.70,5.75,"1,608.00"
02/13/24,5.75,5.78,5.74,5.74,5.78,0.02,5.74,@NA,"1,636.00"
02/12/24,5.71,5.71,5.70,5.71,5.70,0.031,@NA,5.70,"1,686.00"
02/09/24,5.65,5.67,5.65,5.66,5.67,0.091,5.65,5.66,"1,745.00"
02/08/24,5.71,5.77,5.69,5.72,5.77,0.148,5.72,@NA,"1,775.00"
02/07/24,5.72,5.80,5.72,5.72,5.80,0.082,5.72,5.74,"1,807.00"
02/06/24,5.81,5.82,5.80,5.81,5.80,0.083,5.80,5.82,"1,863.00"
02/05/24,5.83,5.88,5.82,5.82,5.88,0.108,5.83,5.82,"1,886.00"
02/02/24,5.86,5.91,5.86,5.86,5.91,0.185,5.88,@NA,"1,909.00"
02/01/24,5.89,5.95,5.87,5.89,5.95,0.304,5.90,5.89,"1,950.00"
01/31/24,5.90,5.95,5.88,5.89,5.92,0.329,5.89,@NA,"1,922.00"
01/30/24,5.94,5.95,5.86,5.94,5.88,0.283,5.94,5.99,"1,908.00"
01/29/24,5.88,5.89,5.81,5.89,5.84,0.659,5.89,5.89,"2,008.00"
01/26/24,5.84,5.88,5.83,5.84,5.86,0.461,5.77,5.84,"2,106.00"
01/25/24,5.87,5.91,5.87,5.87,5.88,0.469,5.83,5.87,"1,923.00"
01/24/24,5.88,5.88,5.75,5.86,5.76,0.552,5.84,5.89,"1,908.00"
01/23/24,5.77,5.79,5.74,5.79,5.74,0.628,5.79,5.81,"1,858.00"
01/22/24,5.71,5.74,5.69,5.69,5.74,0.283,5.65,5.79,"1,920.00"
01/19/24,5.75,5.76,5.70,5.76,5.70,0.115,5.76,5.75,"1,908.00"
01/18/24,5.71,5.73,5.67,5.73,5.70,0.259,5.72,5.76,"1,874.00"
01/17/24,5.71,5.75,5.71,5.73,5.74,0.158,5.70,5.78,"1,878.00"
01/16/24,5.70,5.73,5.69,5.71,5.69,0.219,5.68,5.74,"1,937.00"
01/12/24,5.58,5.68,5.58,5.58,5.65,0.155,5.58,5.65,"1,929.00"
01/11/24,5.67,5.73,5.66,5.69,5.69,0.321,5.63,5.78,"1,900.00"
01/10/24,5.64,5.65,5.60,5.65,5.61,0.346,5.64,5.66,"1,911.00"
01/09/24,5.61,5.72,5.61,5.61,5.72,0.246,5.60,5.62,"2,019.00"
01/08/24,5.67,5.69,5.64,5.69,5.67,0.08,5.62,5.69,"2,011.00"
01/05/24,5.64,5.72,5.63,5.63,5.70,0.136,5.57,5.74,"2,041.00"
01/04/24,5.72,5.77,5.69,5.72,5.73,0.167,5.66,5.72,"2,097.00"
01/03/24,5.74,5.76,5.70,5.75,5.75,0.148,5.69,5.75,"2,075.00"
01/02/24,5.72,5.76,5.70,5.70,5.74,0.451,5.64,5.70,"2,026.00"
12/29/23,5.69,5.74,5.67,5.69,5.74,0.097,5.66,5.69,"2,009.00"
12/28/23,5.71,5.76,5.69,5.70,5.76,0.322,5.70,5.70,"1,997.00"
12/27/23,5.77,5.78,5.70,5.77,5.70,1.034,5.76,5.77,"1,620.00"
12/26/23,5.72,5.78,5.72,5.72,5.73,0.195,5.66,5.82,"1,584.00"
12/22/23,5.73,5.77,5.72,5.72,5.76,0.143,5.70,5.82,"1,581.00"
12/21/23,5.76,5.78,5.72,5.78,5.73,0.402,5.72,5.84,"1,502.00"
12/20/23,5.76,5.79,5.73,5.73,5.79,0.134,5.69,5.79,"1,651.00"
12/19/23,5.76,5.80,5.74,5.77,5.75,0.03,5.53,5.78,"1,495.00"
12/18/23,5.75,5.80,5.74,5.74,5.78,0.021,5.74,5.80,"1,502.00"
12/15/23,5.78,5.81,5.73,5.77,5.81,0.051,5.65,5.83,"1,509.00"
12/14/23,5.81,5.83,5.71,5.78,5.72,0.293,5.58,5.85,"1,319.00"
12/13/23,5.75,5.83,5.72,5.82,5.74,0.119,5.68,5.85,"1,334.00"
12/12/23,5.77,5.81,5.77,5.77,5.79,0.132,5.70,5.87,"1,286.00"
12/11/23,5.76,5.81,5.74,5.76,5.80,0.298,5.41,5.87,"1,235.00"
12/08/23,5.81,5.85,5.76,5.81,5.76,0.155,5.74,5.92,"1,218.00"
12/07/23,5.75,5.75,5.65,5.75,5.65,0.116,5.39,5.79,"1,219.00"
12/06/23,5.66,5.80,5.66,5.66,5.74,0.203,5.62,5.80,"1,207.00"
12/05/23,5.75,5.82,5.74,5.76,5.82,0.298,5.41,5.77,"1,117.00"
12/04/23,5.78,5.90,5.77,5.77,5.86,0.381,5.77,5.77,"1,183.00"
12/01/23,5.91,5.91,5.79,5.89,5.80,0.986,5.85,5.92,"1,275.00"
11/30/23,5.79,5.80,5.74,5.80,5.78,0.474,5.80,5.87,"1,274.00"
11/29/23,5.76,5.82,5.76,5.77,5.80,0.409,5.71,5.77,"1,319.00"
11/28/23,5.76,5.79,5.69,5.77,5.71,0.636,5.77,5.86,"1,252.00"
11/27/23,5.74,5.80,5.73,5.74,5.79,0.116,5.68,5.74,"1,335.00"
11/24/23,5.80,5.80,5.77,5.80,5.78,0.193,5.69,5.81,"1,280.00"
