Date,Settlement Price,High,Low,Last,Open,CVol,Bid,Ask,Open Interest
03/26/24,6.11,6.12,6.09,6.12,6.09,0.247,@NA,6.12,533.00
03/25/24,6.13,6.16,6.10,6.13,6.12,0.285,6.12,6.12,789.00
03/22/24,6.13,6.17,6.12,6.12,6.17,0.556,6.12,6.14,"1,167.00"
03/21/24,6.16,6.22,6.14,6.17,6.22,0.436,6.10,6.17,"1,533.00"
03/20/24,6.19,6.25,6.16,6.25,6.23,0.243,6.17,6.26,"1,680.00"
03/19/24,6.22,6.30,6.20,6.21,6.30,0.631,6.20,6.22,"1,878.00"
03/18/24,6.27,6.32,6.24,6.27,6.26,0.557,6.22,6.28,"2,206.00"
03/15/24,6.26,6.27,6.14,6.25,6.15,0.466,6.17,6.25,"2,292.00"
03/14/24,6.13,6.16,6.10,6.11,6.16,0.392,6.11,6.14,"2,422.00"
03/13/24,6.12,6.12,5.92,6.12,5.92,0.442,6.12,6.06,"2,524.00"
03/12/24,5.95,5.97,5.90,5.96,5.95,0.333,5.91,5.94,"2,753.00"
03/11/24,5.94,5.94,5.88,5.94,5.88,0.328,5.93,5.94,"2,946.00"
03/08/24,5.85,5.92,5.84,5.85,5.90,0.35,5.85,5.85,"3,077.00"
03/07/24,5.92,5.94,5.86,5.92,5.86,0.88,5.92,5.92,"3,076.00"
03/06/24,5.89,5.93,5.84,5.88,5.85,0.402,5.89,5.90,"3,351.00"
03/05/24,5.90,5.92,5.88,5.90,5.90,0.562,5.89,5.90,"3,652.00"
03/04/24,5.91,5.95,5.90,5.91,5.90,0.811,5.91,6.00,"4,075.00"
03/01/24,5.90,5.91,5.83,5.90,5.87,0.949,5.90,5.90,"4,568.00"
02/29/24,5.89,5.91,5.87,5.89,5.88,1.61,5.89,5.89,"5,242.00"
02/28/24,5.89,5.90,5.85,5.90,5.90,6.233,5.90,5.89,"8,492.00"
02/27/24,5.85,5.88,5.83,5.86,5.83,23.145,5.85,5.86,"17,532.00"
02/26/24,5.84,5.92,5.84,5.84,5.92,40.011,5.83,5.84,"29,949.00"
02/23/24,5.91,5.95,5.86,5.90,5.94,54.672,5.90,5.90,"39,847.00"
02/22/24,5.95,5.96,5.91,5.95,5.93,64.774,5.95,5.95,"50,204.00"
02/21/24,5.92,5.97,5.89,5.93,5.90,87.601,5.93,5.93,"68,263.00"
02/20/24,5.89,5.90,5.79,5.87,5.81,128.63,5.87,5.87,"81,198.00"
02/16/24,5.88,5.89,5.75,5.86,5.76,110.16,5.86,5.86,"99,618.00"
02/15/24,5.77,5.77,5.68,5.77,5.68,71.133,5.77,5.77,"107,874.00"
02/14/24,5.70,5.74,5.69,5.71,5.72,70.612,5.71,5.71,"111,116.00"
02/13/24,5.74,5.81,5.73,5.74,5.76,79.977,5.74,5.74,"120,344.00"
02/12/24,5.70,5.71,5.62,5.70,5.65,74.676,5.70,5.70,"128,985.00"
02/09/24,5.65,5.69,5.61,5.65,5.69,84.893,5.65,5.65,"130,246.00"
02/08/24,5.71,5.80,5.67,5.72,5.76,119.114,5.72,5.72,"129,079.00"
02/07/24,5.72,5.81,5.71,5.72,5.80,108.588,5.72,5.72,"126,177.00"
02/06/24,5.80,5.83,5.78,5.81,5.79,89.077,5.81,5.81,"123,700.00"
02/05/24,5.83,5.92,5.81,5.83,5.90,96.307,5.83,5.83,"114,786.00"
02/02/24,5.86,5.92,5.85,5.86,5.91,95.484,5.86,5.86,"114,595.00"
02/01/24,5.89,5.95,5.87,5.89,5.95,93.371,5.89,5.89,"116,865.00"
01/31/24,5.91,5.97,5.87,5.89,5.92,123.533,5.89,5.89,"122,161.00"
01/30/24,5.94,5.95,5.87,5.95,5.90,83.648,5.94,5.95,"122,582.00"
01/29/24,5.88,5.90,5.81,5.89,5.84,72.712,5.89,5.89,"123,149.00"
