Date,Settlement Price,High,Low,Last,Open,CVol,Bid,Ask,Open Interest
05/28/25,7.23,7.38,7.22,7.23,7.35,0.128,7.23,7.22,984.00
05/27/25,7.31,7.39,7.30,7.32,7.39,0.562,7.32,@NA,"1,667.00"
05/23/25,7.42,7.48,7.18,7.47,7.20,0.981,7.48,7.48,"1,688.00"
05/22/25,7.25,7.25,7.11,7.24,7.14,0.97,7.25,7.24,"2,227.00"
05/21/25,7.18,7.21,7.16,7.17,7.20,0.915,7.17,7.18,"1,983.00"
05/20/25,7.21,7.25,7.17,7.25,7.20,0.711,7.22,7.21,"2,024.00"
05/19/25,7.18,7.18,7.02,7.16,7.07,0.916,7.16,7.18,"1,965.00"
05/16/25,7.12,7.23,7.09,7.12,7.22,0.599,7.12,7.11,"2,103.00"
05/15/25,7.25,7.26,7.10,7.26,7.19,0.462,7.20,7.26,"2,066.00"
05/14/25,7.14,7.26,7.11,7.12,7.19,0.694,7.09,7.12,"2,296.00"
05/13/25,7.25,7.25,7.07,7.24,7.07,0.325,7.21,7.24,"2,666.00"
05/12/25,7.18,7.32,7.16,7.18,7.30,0.453,7.16,7.19,"3,226.00"
05/09/25,7.18,7.20,6.93,7.17,7.02,0.56,7.18,@NA,"3,338.00"
05/08/25,7.11,7.22,7.03,7.11,7.16,0.671,7.10,7.49,"3,398.00"
05/07/25,7.14,7.34,7.07,7.07,7.34,0.328,7.07,7.11,"3,610.00"
05/06/25,7.31,7.33,7.18,7.29,7.18,0.495,7.31,7.31,"3,852.00"
05/05/25,7.18,7.28,7.15,7.18,7.17,0.309,7.18,7.15,"4,152.00"
05/02/25,7.16,7.23,7.09,7.20,7.09,0.765,7.19,7.16,"4,762.00"
05/01/25,7.18,7.23,7.15,7.18,7.18,0.652,7.15,7.17,"5,847.00"
04/30/25,7.13,7.53,7.03,7.13,7.52,1.725,7.13,7.13,"8,069.00"
04/29/25,7.56,7.70,7.52,7.55,7.60,3.901,7.55,7.52,"10,045.00"
04/28/25,7.54,7.58,7.43,7.55,7.53,15.715,7.56,7.55,"16,354.00"
04/25/25,7.57,7.65,7.41,7.58,7.64,26.184,7.55,7.64,"24,203.00"
04/24/25,7.59,7.63,7.52,7.63,7.55,34.498,7.62,7.63,"33,222.00"
04/23/25,7.56,7.69,7.52,7.54,7.58,46.671,7.53,7.54,"39,155.00"
04/22/25,7.63,7.66,7.39,7.59,7.39,48.314,7.58,7.59,"47,155.00"
04/21/25,7.37,7.49,7.30,7.35,7.35,29.222,7.35,7.36,"49,828.00"
04/17/25,7.44,7.46,7.16,7.39,7.35,49.209,7.38,7.40,"55,146.00"
04/16/25,7.34,7.36,7.12,7.33,7.23,43.899,7.33,7.34,"57,321.00"
04/15/25,7.26,7.32,7.12,7.24,7.30,42.269,7.24,7.25,"62,099.00"
