Date,Settlement Price,High,Low,Last,Open,CVol,Bid,Ask,Open Interest
08/27/25,6.81,6.81,6.81,6.81,6.81,0.3,@NA,@NA,525.00
08/26/25,6.85,6.86,6.85,6.86,6.86,0.333,@NA,6.85,898.00
08/25/25,6.87,6.88,6.87,6.87,6.88,0.669,6.87,6.90,922.00
08/22/25,6.85,6.85,6.85,6.85,6.85,0.605,6.85,6.85,967.00
08/21/25,6.90,6.91,6.89,6.90,6.91,0.467,6.90,6.90,"1,460.00"
08/20/25,6.88,6.89,6.85,6.89,6.86,1.004,@NA,6.89,"1,204.00"
08/19/25,6.82,6.84,6.82,6.83,6.84,0.665,6.83,6.83,"1,370.00"
08/18/25,6.87,6.88,6.86,6.88,6.86,0.677,6.88,6.88,"1,971.00"
08/15/25,6.87,6.88,6.86,6.87,6.88,0.617,6.87,6.87,"2,416.00"
08/14/25,6.87,6.87,6.85,6.86,6.85,1.844,@NA,6.87,"1,493.00"
08/13/25,6.84,6.88,6.82,6.82,6.88,0.643,@NA,6.86,"1,517.00"
08/12/25,6.92,6.92,6.91,6.91,6.92,0.607,@NA,6.91,"1,550.00"
08/11/25,6.80,6.84,6.80,6.80,6.83,0.562,@NA,6.84,"1,639.00"
08/08/25,6.83,6.83,6.73,6.83,6.73,0.47,@NA,6.83,"1,949.00"
08/07/25,6.74,6.82,6.74,6.74,6.77,0.81,6.74,6.74,"1,917.00"
08/06/25,6.76,6.79,6.75,6.76,6.78,0.732,6.77,6.76,"1,929.00"
08/05/25,6.75,6.81,6.74,6.75,6.79,0.615,6.75,6.75,"2,035.00"
08/04/25,6.82,6.85,6.82,6.82,6.83,0.814,6.83,6.82,"2,259.00"
08/01/25,6.83,6.81,6.78,6.81,6.79,0.999,6.79,@NA,"2,782.00"
07/31/25,6.73,7.14,6.72,6.83,7.14,1.381,6.83,6.72,"4,506.00"
07/30/25,8.62,8.71,6.95,7.11,8.71,2.355,6.96,7.12,"3,661.00"
07/29/25,8.62,8.69,8.54,8.68,8.54,0.775,8.67,8.62,"3,680.00"
07/28/25,8.57,8.88,8.46,8.58,8.85,0.478,8.56,8.58,"3,873.00"
07/25/25,8.79,8.85,8.75,8.82,8.80,0.391,8.81,8.82,"3,937.00"
07/24/25,8.75,8.96,8.75,8.79,8.96,0.554,8.61,9.46,"3,941.00"
07/23/25,8.81,8.97,8.68,8.85,8.75,0.596,8.58,9.49,"3,969.00"
07/22/25,8.71,8.76,8.51,8.76,8.57,0.511,8.63,9.55,"4,055.00"
07/21/25,8.61,8.62,8.50,8.61,8.50,0.275,8.61,8.61,"4,033.00"
07/18/25,8.56,8.57,8.42,8.54,8.43,0.402,8.05,9.50,"4,154.00"
07/17/25,8.47,8.50,8.42,8.45,8.48,0.491,8.10,8.88,"4,081.00"
07/16/25,8.46,8.50,8.39,8.43,8.44,0.554,8.30,8.84,"4,165.00"
07/15/25,8.52,8.52,8.41,8.44,8.43,0.999,8.41,8.83,"4,399.00"
07/14/25,8.43,8.50,8.31,8.40,8.48,0.933,8.25,8.78,"4,530.00"
07/11/25,8.48,8.52,8.32,8.47,8.52,1.018,8.21,8.75,"4,750.00"
07/10/25,8.48,8.61,8.39,8.54,8.39,0.765,8.43,8.72,"5,058.00"
07/09/25,8.36,8.72,8.29,8.45,8.36,1.716,8.20,8.81,"5,314.00"
07/08/25,8.69,9.01,7.59,8.40,7.64,2.008,7.52,8.50,"5,368.00"
07/07/25,7.68,7.75,7.63,7.68,7.75,0.781,7.65,7.67,"5,309.00"
07/03/25,7.80,7.88,7.77,7.78,7.88,0.406,7.80,7.79,"5,322.00"
07/02/25,7.88,7.90,7.71,7.88,7.73,0.579,7.86,7.94,"5,183.00"
07/01/25,7.72,7.85,7.69,7.71,7.73,0.809,7.68,7.93,"5,165.00"
06/30/25,7.71,7.79,7.69,7.74,7.78,0.279,7.69,7.73,"5,117.00"
06/27/25,7.81,7.83,7.67,7.80,7.78,1,7.80,7.81,"4,888.00"
06/26/25,7.78,7.81,7.55,7.76,7.56,1.753,7.77,7.78,"4,784.00"
06/25/25,7.62,7.62,7.56,7.62,7.59,1.247,7.58,7.70,"4,648.00"
06/24/25,7.53,7.63,7.48,7.57,7.53,1.615,7.46,7.91,"3,921.00"
06/23/25,7.58,7.68,7.50,7.66,7.53,1.016,7.56,7.67,"3,587.00"
06/20/25,7.51,7.55,7.41,7.52,7.48,0.529,7.52,7.52,"3,511.00"
06/18/25,7.49,7.49,7.42,7.49,7.43,0.62,7.48,7.48,"3,446.00"
06/17/25,7.43,7.48,7.40,7.41,7.42,0.929,7.41,7.41,"3,316.00"
06/16/25,7.44,7.44,7.34,7.43,7.34,1.816,7.17,7.45,"3,212.00"
06/13/25,7.45,7.46,7.29,7.45,7.45,0.825,7.34,7.92,"2,956.00"
06/12/25,7.45,7.46,7.39,7.46,7.40,0.339,7.46,7.45,"2,918.00"
06/11/25,7.43,7.56,7.37,7.41,7.52,0.276,7.19,7.90,"2,951.00"
06/10/25,7.55,7.58,7.49,7.56,7.53,0.674,7.34,7.89,"3,385.00"
06/09/25,7.59,7.60,7.47,7.56,7.47,0.589,7.44,7.47,"3,495.00"
06/06/25,7.51,7.64,7.50,7.50,7.61,0.423,7.58,7.50,"3,533.00"
06/05/25,7.60,7.78,7.54,7.60,7.58,0.512,7.19,7.89,"3,341.00"
06/04/25,7.56,7.59,7.49,7.59,7.57,0.255,7.53,7.56,"3,183.00"
06/03/25,7.51,7.55,7.36,7.55,7.53,0.618,7.52,7.51,"3,092.00"
06/02/25,7.51,7.62,7.37,7.51,7.37,0.918,7.43,7.51,"2,648.00"
05/30/25,7.31,7.36,7.27,7.30,7.29,0.22,7.23,7.55,"2,622.00"
05/29/25,7.30,7.39,7.28,7.29,7.30,0.313,7.29,7.28,"2,622.00"
05/28/25,7.32,7.46,7.31,7.33,7.42,0.535,7.21,7.52,"2,494.00"
05/27/25,7.40,7.57,7.39,7.41,7.56,0.284,7.41,7.65,"2,391.00"
05/23/25,7.51,7.59,7.22,7.57,7.30,0.225,7.50,7.57,"2,342.00"
05/22/25,7.34,7.40,7.20,7.34,7.38,0.15,6.86,7.38,"2,319.00"
05/21/25,7.28,7.31,7.26,7.26,7.29,0.05,6.81,7.59,"2,318.00"
05/20/25,7.31,7.32,7.21,7.32,7.24,0.027,7.32,7.65,"2,331.00"
05/19/25,7.28,7.28,7.11,7.26,7.14,0.313,7.26,@NA,"2,303.00"
05/16/25,7.22,7.25,7.21,7.21,7.25,0.341,7.25,7.22,"2,200.00"
05/15/25,7.35,7.39,7.29,7.39,7.30,0.326,7.31,7.35,"2,222.00"
05/14/25,7.24,7.36,7.22,7.24,7.36,0.313,6.81,7.25,"2,300.00"
05/13/25,7.35,7.35,7.24,7.33,7.25,0.035,7.33,7.26,"2,289.00"
05/12/25,7.29,7.36,7.26,7.27,7.36,0.153,7.27,7.50,"2,258.00"
05/09/25,7.28,7.30,7.07,7.28,7.07,0.146,7.28,7.29,"2,179.00"
05/08/25,7.22,7.24,7.21,7.22,7.24,0.097,7.08,7.22,"2,182.00"
05/07/25,7.24,7.45,7.24,7.24,7.45,0.172,7.24,7.25,"2,160.00"
05/06/25,7.41,7.41,7.41,7.41,7.41,0.052,@NA,7.59,"2,168.00"
05/05/25,7.29,7.29,7.29,7.29,7.29,0.093,@NA,@NA,"2,159.00"
05/02/25,7.26,7.32,7.24,7.27,7.25,0.262,6.80,7.95,"2,169.00"
05/01/25,7.28,7.33,7.26,7.29,7.33,0.061,7.29,7.26,"2,136.00"
04/30/25,7.24,7.65,7.13,7.24,7.39,0.337,6.88,8.03,"1,759.00"
04/29/25,7.67,7.80,7.65,7.65,7.73,0.069,7.64,7.67,"1,754.00"
04/28/25,7.65,7.68,7.57,7.68,7.59,0.193,7.66,7.68,"1,743.00"
04/25/25,7.70,7.77,7.55,7.69,7.77,0.064,7.69,7.72,"1,745.00"
04/24/25,7.71,7.74,7.65,7.74,7.68,0.071,7.73,7.76,"1,723.00"
04/23/25,7.67,7.80,7.64,7.66,7.80,0.045,7.65,7.69,"1,726.00"
04/22/25,7.75,7.75,7.52,7.70,7.59,0.051,7.69,7.72,"1,726.00"
04/21/25,7.48,7.58,7.43,7.48,7.48,0.023,7.45,7.48,"1,724.00"
04/17/25,7.56,7.56,7.31,7.50,7.43,0.082,7.49,7.52,"1,689.00"
04/16/25,7.46,7.46,7.26,7.45,7.31,0.135,7.43,7.45,"1,679.00"
04/15/25,7.38,7.42,7.26,7.37,7.40,0.218,7.35,7.38,"1,652.00"
04/14/25,7.43,7.51,7.28,7.51,7.28,0.14,7.48,7.51,"1,634.00"
04/11/25,7.37,7.42,7.07,7.41,7.14,0.103,7.39,7.43,"1,557.00"
04/10/25,7.06,7.24,7.04,7.13,7.20,0.047,7.11,7.14,"1,546.00"
04/09/25,7.11,7.55,6.88,7.55,6.96,0.192,7.53,7.56,"1,511.00"
04/08/25,7.00,7.34,6.93,6.94,7.22,0.114,6.93,6.97,"1,479.00"
04/07/25,7.08,7.51,7.01,7.24,7.19,0.211,7.24,7.27,"1,485.00"
