Date,Settlement Price,High,Low,Last,Open,CVol,Bid,Ask,Open Interest
09/26/24,6.65,6.65,6.50,6.65,6.50,0.372,6.50,@NA,874.00
09/25/24,6.45,6.49,6.45,6.45,6.49,0.359,6.40,6.45,"1,079.00"
09/24/24,6.45,6.45,6.26,6.44,6.26,0.309,6.39,6.44,"1,323.00"
09/23/24,6.26,6.27,6.20,6.26,6.20,0.555,6.26,6.26,"1,634.00"
09/20/24,6.30,6.36,6.27,6.30,6.35,0.149,6.28,6.30,"1,752.00"
09/19/24,6.30,6.33,6.27,6.30,6.32,0.458,@NA,6.30,"1,790.00"
09/18/24,6.26,6.31,6.19,6.24,6.19,0.221,6.25,6.26,"1,862.00"
09/17/24,6.23,6.26,6.20,6.22,6.25,0.339,6.21,6.22,"2,006.00"
09/16/24,6.26,6.31,6.24,6.25,6.24,0.412,@NA,6.26,"2,087.00"
09/13/24,6.22,6.23,6.18,6.19,6.18,0.395,6.21,6.19,"2,252.00"
09/12/24,6.18,6.23,6.15,6.20,6.15,0.587,6.20,6.38,"2,345.00"
09/11/24,6.15,6.18,6.12,6.18,6.12,0.379,@NA,6.18,"2,341.00"
09/10/24,6.08,6.14,6.07,6.09,6.14,0.37,6.09,6.08,"2,444.00"
09/09/24,6.14,6.16,6.08,6.13,6.08,0.348,6.13,6.12,"2,631.00"
09/06/24,5.98,6.13,5.96,5.96,6.08,0.464,6.02,5.97,"2,759.00"
09/05/24,6.07,6.10,5.92,6.07,5.99,0.294,6.07,6.06,"2,972.00"
09/04/24,5.97,6.00,5.92,5.98,5.98,0.684,5.97,5.97,"3,312.00"
09/03/24,6.00,6.13,5.95,6.00,6.13,0.754,6.00,6.00,"3,847.00"
08/30/24,6.11,6.18,6.11,6.12,6.16,0.864,6.12,6.22,"5,172.00"
08/29/24,6.11,6.15,6.04,6.09,6.10,5.189,6.09,6.08,"7,565.00"
08/28/24,6.11,6.24,6.09,6.10,6.24,23.184,6.08,6.11,"14,718.00"
08/27/24,6.25,6.27,6.18,6.25,6.21,31.95,6.23,6.27,"30,483.00"
08/26/24,6.22,6.25,6.18,6.21,6.21,36.009,6.20,6.21,"40,839.00"
08/23/24,6.20,6.24,6.11,6.21,6.11,46.466,6.21,6.21,"47,313.00"
08/22/24,6.18,6.28,6.15,6.16,6.26,45.568,6.16,6.16,"55,477.00"
08/21/24,6.22,6.26,6.14,6.23,6.16,40.905,6.23,6.23,"60,914.00"
08/20/24,6.16,6.24,6.14,6.16,6.22,42.862,6.16,6.16,"65,812.00"
08/19/24,6.23,6.25,6.17,6.25,6.18,39.753,6.25,6.25,"67,203.00"
08/16/24,6.24,6.27,6.17,6.25,6.24,48.503,6.25,6.26,"70,830.00"
08/15/24,6.26,6.28,6.08,6.25,6.10,54.826,6.25,6.25,"73,770.00"
08/14/24,6.10,6.19,6.09,6.10,6.13,45.702,6.10,6.11,"76,581.00"
08/13/24,6.13,6.16,6.07,6.14,6.16,52.289,6.14,6.15,"83,186.00"
08/12/24,6.16,6.20,6.02,6.16,6.03,48.834,6.16,6.16,"89,636.00"
08/09/24,6.07,6.15,6.04,6.05,6.05,48.657,6.05,6.05,"96,315.00"
08/08/24,6.03,6.06,5.97,6.06,5.98,61.544,6.06,6.06,"101,412.00"
