Date,Settlement Price,High,Low,Last,Open,CVol,Bid,Ask,Open Interest
10/29/24,6.61,6.63,6.60,6.60,6.60,0.202,6.63,@NA,480.00
10/28/24,6.58,6.58,6.57,6.57,6.58,0.36,6.57,@NA,442.00
10/25/24,6.53,6.53,6.48,6.53,6.48,0.237,6.53,6.49,565.00
10/24/24,6.51,6.58,6.47,6.53,6.58,0.365,6.49,6.49,520.00
10/23/24,6.49,6.51,6.45,6.47,6.51,0.274,6.47,6.49,552.00
10/22/24,6.51,6.53,6.51,6.52,6.53,0.209,6.51,6.51,619.00
10/21/24,6.48,6.52,6.47,6.48,6.52,0.22,6.48,6.48,703.00
10/18/24,6.48,6.52,6.40,6.47,6.49,0.238,6.47,6.47,714.00
10/17/24,6.40,6.48,6.40,6.41,6.48,0.224,6.41,6.40,830.00
10/16/24,6.50,6.50,6.47,6.49,6.48,0.248,6.48,6.48,924.00
10/15/24,6.40,6.50,6.39,6.40,6.50,0.288,6.39,6.40,962.00
10/14/24,6.49,6.54,6.46,6.48,6.47,0.205,6.48,6.48,"1,026.00"
10/11/24,6.60,6.59,6.53,6.59,6.53,0.178,6.59,6.59,"1,094.00"
10/10/24,6.52,6.55,6.51,6.54,6.51,0.112,6.54,6.54,"1,230.00"
10/09/24,6.49,6.54,6.50,6.51,6.54,0.26,6.40,6.51,"1,470.00"
10/08/24,6.56,6.59,6.55,6.56,6.58,0.328,6.56,6.56,"1,455.00"
10/07/24,6.68,6.68,6.65,6.66,6.67,0.25,6.65,6.70,"1,648.00"
10/04/24,6.65,6.69,6.62,6.65,6.62,0.321,6.65,6.64,"1,750.00"
10/03/24,6.58,6.74,6.54,6.57,6.74,0.246,6.58,6.57,"1,980.00"
10/02/24,6.68,6.69,6.64,6.69,6.65,0.276,6.69,6.69,"2,210.00"
10/01/24,6.58,6.59,6.55,6.57,6.55,0.405,6.57,6.57,"3,153.00"
09/30/24,6.48,6.65,6.44,6.48,6.65,0.285,6.46,6.46,"3,359.00"
09/27/24,6.55,6.62,6.52,6.54,6.59,0.489,6.54,6.55,"3,884.00"
09/26/24,6.65,6.66,6.48,6.66,6.48,1.172,6.66,6.65,"4,146.00"
09/25/24,6.46,6.52,6.43,6.46,6.52,1.183,6.43,6.52,"4,356.00"
09/24/24,6.45,6.51,6.27,6.51,6.27,1.62,6.41,6.55,"4,864.00"
09/23/24,6.27,6.28,6.18,6.27,6.23,0.774,6.27,6.27,"5,013.00"
09/20/24,6.31,6.37,6.28,6.30,6.34,0.671,5.81,6.37,"5,038.00"
09/19/24,6.31,6.36,6.16,6.31,6.20,0.965,5.80,6.35,"4,970.00"
09/18/24,6.28,6.33,6.19,6.23,6.25,0.556,5.84,6.37,"4,948.00"
09/17/24,6.25,6.29,6.22,6.26,6.24,0.499,6.26,6.29,"4,835.00"
09/16/24,6.28,6.33,6.17,6.27,6.19,0.718,6.26,6.27,"4,938.00"
09/13/24,6.24,6.26,6.17,6.21,6.20,0.702,5.88,6.30,"4,755.00"
09/12/24,6.20,6.25,6.16,6.22,6.17,0.987,6.12,6.25,"4,757.00"
09/11/24,6.18,6.22,6.12,6.22,6.12,0.567,6.17,6.39,"4,759.00"
09/10/24,6.10,6.19,6.08,6.11,6.16,0.446,6.11,6.39,"4,796.00"
09/09/24,6.17,6.19,6.04,6.16,6.05,0.352,6.13,6.18,"4,784.00"
09/06/24,6.01,6.15,5.99,5.99,6.11,0.527,5.88,6.33,"4,729.00"
09/05/24,6.09,6.11,5.95,6.10,6.02,0.555,5.88,6.11,"4,968.00"
09/04/24,5.99,6.05,5.97,6.00,6.01,0.686,5.94,6.31,"5,096.00"
09/03/24,6.03,6.17,5.98,6.02,6.17,0.939,5.58,6.11,"5,208.00"
08/30/24,6.14,6.23,6.12,6.15,6.14,0.742,5.83,6.23,"5,317.00"
08/29/24,6.15,6.18,6.10,6.13,6.15,1.384,6.10,6.19,"5,156.00"
08/28/24,6.14,6.26,6.13,6.14,6.25,1.531,6.14,6.17,"5,369.00"
08/27/24,6.28,6.29,6.22,6.28,6.22,1.429,6.28,6.28,"5,322.00"
08/26/24,6.25,6.27,6.21,6.22,6.21,2.087,6.16,6.23,"4,374.00"
08/23/24,6.22,6.24,6.12,6.23,6.13,0.453,6.23,6.23,"4,194.00"
08/22/24,6.19,6.29,6.16,6.17,6.28,0.354,6.17,6.31,"4,196.00"
08/21/24,6.23,6.25,6.18,6.25,6.18,0.282,6.16,6.25,"4,145.00"
08/20/24,6.18,6.24,6.16,6.17,6.22,0.484,6.09,6.26,"3,895.00"
08/19/24,6.24,6.26,6.20,6.26,6.20,0.438,6.11,6.28,"3,764.00"
08/16/24,6.25,6.27,6.18,6.26,6.23,0.793,6.16,6.27,"3,384.00"
08/15/24,6.26,6.28,6.11,6.25,6.11,1.058,6.08,6.34,"3,323.00"
08/14/24,6.11,6.18,6.10,6.11,6.12,0.589,6.09,6.19,"2,998.00"
08/13/24,6.14,6.17,6.09,6.16,6.17,0.214,6.07,6.20,"2,831.00"
08/12/24,6.17,6.19,6.07,6.19,6.07,0.098,6.19,6.21,"2,819.00"
08/09/24,6.08,6.14,6.07,6.07,6.11,0.329,6.07,6.07,"2,580.00"
08/08/24,6.04,6.08,6.01,6.08,6.01,0.189,6.05,6.05,"2,028.00"
08/07/24,6.05,6.14,6.03,6.03,6.11,0.373,6.03,6.16,"2,002.00"
08/06/24,6.20,6.22,6.11,6.22,6.21,0.061,6.15,6.46,"2,187.00"
08/05/24,6.19,6.39,6.11,6.20,6.38,0.134,5.87,6.19,"2,200.00"
08/02/24,6.31,6.36,6.25,6.32,6.26,0.134,5.75,6.33,"2,187.00"
08/01/24,6.27,6.44,6.23,6.25,6.44,0.529,5.74,6.24,"2,180.00"
07/31/24,6.41,6.46,6.35,6.44,6.35,0.146,6.44,6.44,"2,144.00"
07/30/24,6.27,6.29,6.21,6.29,6.28,0.156,6.29,6.28,"2,071.00"
07/29/24,6.27,6.34,6.24,6.27,6.32,0.189,6.27,6.29,"2,091.00"
07/26/24,6.31,6.33,6.29,6.29,6.33,0.165,6.32,6.32,"2,075.00"
07/25/24,6.31,6.36,6.20,6.29,6.23,0.287,6.29,6.27,"1,914.00"
