Date,Settlement Price,High,Low,Last,Open,CVol,Bid,Ask,Open Interest
10/31/25,7.74,7.79,7.77,7.77,7.77,0.033,7.79,7.77,"6,042.00"
10/30/25,7.75,7.91,7.67,7.75,7.89,0.889,7.70,7.72,"6,531.00"
10/29/25,7.92,7.93,7.81,7.83,7.86,2.188,7.89,7.84,"5,921.00"
10/28/25,7.81,7.82,7.69,7.81,7.79,0.697,7.82,7.81,"6,163.00"
10/27/25,7.85,7.92,7.82,7.83,7.85,0.93,7.75,7.83,"5,453.00"
10/24/25,7.84,7.87,7.80,7.84,7.83,0.565,7.69,7.90,"6,535.00"
10/23/25,7.81,7.80,7.64,7.79,7.67,0.394,7.67,7.79,"6,619.00"
10/22/25,7.66,7.69,7.54,7.65,7.54,0.391,7.52,7.78,"6,431.00"
10/21/25,7.61,7.75,7.59,7.59,7.75,0.438,7.59,7.62,"6,379.00"
10/20/25,7.70,7.76,7.60,7.71,7.66,0.514,7.72,7.71,"6,391.00"
10/17/25,7.62,7.67,7.50,7.67,7.66,0.409,7.48,7.67,"6,396.00"
10/16/25,7.65,7.67,7.57,7.63,7.60,0.446,7.61,7.63,"6,385.00"
10/15/25,7.66,7.74,7.56,7.59,7.65,0.912,7.60,7.56,"6,443.00"
10/14/25,7.71,7.89,7.59,7.67,7.85,0.43,7.65,7.71,"6,690.00"
10/13/25,7.86,7.89,7.49,7.83,7.49,0.359,7.23,7.91,"6,663.00"
10/10/25,7.45,7.87,7.34,7.34,7.82,0.707,7.47,7.42,"6,680.00"
10/09/25,7.77,7.97,7.65,7.79,7.66,0.978,7.79,7.75,"6,712.00"
10/08/25,7.70,7.79,7.68,7.69,7.70,1.274,7.60,7.69,"6,312.00"
10/07/25,7.70,7.75,7.61,7.70,7.63,0.643,7.56,7.76,"6,427.00"
10/06/25,7.57,7.70,7.57,7.57,7.66,0.782,7.58,7.57,"6,390.00"
10/03/25,7.70,7.71,7.46,7.66,7.47,0.755,7.65,7.67,"6,346.00"
10/02/25,7.48,7.51,7.40,7.48,7.40,0.821,7.48,7.49,"6,428.00"
10/01/25,7.35,7.36,7.26,7.36,7.32,0.78,7.34,7.38,"6,477.00"
09/30/25,7.29,7.37,7.25,7.30,7.35,0.991,7.29,7.30,"6,320.00"
09/29/25,7.40,7.44,7.21,7.43,7.21,1.823,7.41,7.43,"6,225.00"
09/26/25,7.25,7.29,7.17,7.24,7.26,1.263,7.24,7.26,"5,976.00"
09/25/25,7.23,7.49,7.23,7.26,7.41,0.66,7.23,7.26,"5,753.00"
09/24/25,7.26,7.31,6.96,7.28,7.00,1.449,7.28,7.28,"5,234.00"
09/23/25,6.99,7.00,6.96,6.99,6.99,0.395,6.93,6.99,"5,263.00"
09/22/25,6.99,7.01,6.95,7.01,7.01,0.463,7.00,7.05,"5,366.00"
09/19/25,6.98,6.99,6.94,6.98,6.94,0.295,6.89,7.15,"4,489.00"
09/18/25,6.92,6.93,6.89,6.91,6.92,0.09,6.86,6.97,"4,491.00"
09/17/25,6.91,7.00,6.85,6.89,6.99,0.081,6.87,6.91,"4,510.00"
09/16/25,6.99,7.03,6.97,7.00,7.03,0.232,7.00,6.99,"4,486.00"
09/15/25,7.05,7.05,6.93,7.05,6.94,0.227,7.04,7.19,"4,457.00"
09/12/25,6.97,7.03,6.96,6.96,7.00,0.331,6.92,7.21,"4,290.00"
09/11/25,6.97,6.98,6.88,6.98,6.89,0.27,6.94,7.00,"4,254.00"
09/10/25,6.93,6.94,6.85,6.92,6.86,0.229,6.91,6.91,"4,363.00"
09/09/25,6.89,6.92,6.87,6.90,6.89,0.521,6.87,6.89,"4,150.00"
