Date,Settlement Price,High,Low,Last,Open,CVol,Bid,Ask,Open Interest
12/27/24,6.54,6.54,6.53,6.54,6.54,0.295,@NA,6.54,326.00
12/26/24,6.55,6.56,6.54,6.55,6.55,0.266,6.56,6.55,448.00
12/24/24,6.50,6.51,6.49,6.50,6.51,0.348,@NA,6.50,830.00
12/23/24,6.46,6.47,6.45,6.46,6.47,0.844,6.46,6.46,931.00
12/20/24,6.47,6.47,6.45,6.47,6.45,0.473,6.45,6.47,"1,187.00"
12/19/24,6.43,6.48,6.43,6.43,6.45,0.437,6.43,6.46,"1,415.00"
12/18/24,6.50,6.51,6.40,6.42,6.49,1.005,6.42,6.49,"1,627.00"
12/17/24,6.45,6.53,6.44,6.45,6.53,1.272,6.45,6.45,"1,465.00"
12/16/24,6.50,6.55,6.49,6.51,6.49,0.47,6.51,6.51,"1,370.00"
12/13/24,6.52,6.57,6.51,6.52,6.57,0.309,6.52,6.53,"1,456.00"
12/12/24,6.57,6.71,6.54,6.57,6.71,0.475,6.57,6.57,"1,705.00"
12/11/24,6.62,6.69,6.57,6.62,6.63,0.76,6.62,6.63,"1,745.00"
12/10/24,6.63,6.64,6.58,6.62,6.60,0.909,6.63,6.62,"2,085.00"
12/09/24,6.53,6.55,6.39,6.51,6.40,0.647,6.45,6.53,"2,137.00"
12/06/24,6.48,6.56,6.47,6.48,6.48,0.276,6.48,6.48,"2,504.00"
12/05/24,6.43,6.44,6.39,6.43,6.44,0.429,6.41,6.41,"2,781.00"
12/04/24,6.44,6.46,6.41,6.44,6.43,1.082,6.44,6.42,"2,770.00"
12/03/24,6.40,6.49,6.28,6.39,6.32,1.592,6.39,6.40,"3,860.00"
12/02/24,6.32,6.35,6.25,6.35,6.32,1.085,6.35,6.34,"4,575.00"
11/29/24,6.26,6.29,6.24,6.27,6.24,0.854,6.27,6.28,"5,854.00"
11/27/24,6.26,6.31,6.24,6.26,6.25,10.438,6.26,6.28,"9,511.00"
11/26/24,6.26,6.36,6.25,6.28,6.35,34.708,6.25,6.28,"21,310.00"
11/25/24,6.31,6.36,6.29,6.31,6.29,42.344,6.31,6.31,"38,925.00"
11/22/24,6.29,6.34,6.25,6.29,6.33,42.59,6.29,6.29,"44,167.00"
11/21/24,6.33,6.39,6.29,6.31,6.37,43.368,6.31,6.31,"48,974.00"
11/20/24,6.40,6.44,6.37,6.40,6.42,42.72,6.40,6.40,"53,484.00"
11/19/24,6.35,6.40,6.27,6.39,6.32,48.421,6.39,6.39,"56,091.00"
11/18/24,6.35,6.38,6.25,6.36,6.27,49.153,6.36,6.36,"58,439.00"
11/15/24,6.29,6.46,6.28,6.29,6.31,73.523,6.29,6.29,"62,142.00"
11/14/24,6.31,6.32,6.17,6.29,6.28,80.448,6.29,6.29,"78,055.00"
11/13/24,6.28,6.41,6.25,6.26,6.38,76.955,6.26,6.26,"86,623.00"
11/12/24,6.32,6.51,6.31,6.33,6.49,72.175,6.33,6.34,"93,529.00"
11/11/24,6.44,6.60,6.43,6.46,6.57,56.755,6.46,6.46,"96,688.00"
11/08/24,6.52,6.73,6.50,6.53,6.73,76.566,6.53,6.53,"103,173.00"
11/07/24,6.63,6.65,6.34,6.64,6.34,90.082,6.63,6.64,"114,605.00"
11/06/24,6.46,6.79,6.43,6.45,6.79,114.73,6.45,6.45,"116,816.00"
11/05/24,6.75,6.77,6.66,6.73,6.68,60.089,6.72,6.74,"117,271.00"
11/04/24,6.71,6.74,6.59,6.71,6.60,60.858,6.71,6.71,"117,259.00"
11/01/24,6.64,6.70,6.60,6.60,6.62,53.517,6.60,6.60,"118,041.00"
10/31/24,6.63,6.69,6.60,6.66,6.65,46.574,6.66,6.66,"118,958.00"
10/30/24,6.61,6.66,6.57,6.62,6.63,44.053,6.62,6.62,"119,419.00"
10/29/24,6.65,6.76,6.60,6.66,6.66,68.232,6.65,6.66,"117,669.00"
10/28/24,6.62,6.66,6.58,6.63,6.63,40.381,6.63,6.63,"119,052.00"
10/25/24,6.58,6.61,6.51,6.58,6.57,42.625,6.58,6.58,"119,495.00"
10/24/24,6.56,6.63,6.52,6.58,6.53,50.672,6.58,6.58,"125,295.00"
10/23/24,6.54,6.62,6.50,6.53,6.61,48.87,6.53,6.53,"126,425.00"
10/22/24,6.56,6.59,6.50,6.57,6.52,40.304,6.57,6.57,"127,279.00"
10/21/24,6.53,6.68,6.52,6.53,6.58,52.082,6.53,6.54,"130,262.00"
10/18/24,6.54,6.58,6.45,6.55,6.46,45.831,6.55,6.55,"130,429.00"
10/17/24,6.45,6.59,6.40,6.47,6.52,56.601,6.47,6.47,"128,560.00"
10/16/24,6.55,6.59,6.49,6.55,6.51,43.436,6.55,6.55,"130,664.00"
10/15/24,6.46,6.57,6.44,6.46,6.55,57.272,6.46,6.46,"132,961.00"
10/14/24,6.55,6.65,6.52,6.55,6.62,66.781,6.55,6.55,"131,657.00"
10/11/24,6.66,6.67,6.55,6.66,6.59,50.867,6.66,6.66,"130,425.00"
10/10/24,6.59,6.63,6.52,6.62,6.57,59.922,6.62,6.62,"131,122.00"
10/09/24,6.55,6.71,6.51,6.57,6.66,60.797,6.57,6.58,"133,185.00"
10/08/24,6.62,6.81,6.57,6.65,6.78,87.143,6.65,6.65,"139,205.00"
10/07/24,6.75,6.81,6.67,6.74,6.76,54.098,6.73,6.74,"139,255.00"
10/04/24,6.73,6.77,6.67,6.72,6.69,55.556,6.71,6.72,"137,693.00"
10/03/24,6.66,6.82,6.61,6.64,6.82,59.484,6.64,6.64,"139,086.00"
10/02/24,6.76,6.78,6.62,6.78,6.65,47.12,6.78,6.78,"137,787.00"
10/01/24,6.66,6.71,6.58,6.65,6.61,59.655,6.64,6.65,"136,292.00"
09/30/24,6.56,6.90,6.48,6.56,6.70,97.23,6.56,6.56,"137,386.00"
09/27/24,6.64,6.72,6.60,6.62,6.71,75.771,6.62,6.62,"138,942.00"
09/26/24,6.74,6.75,6.50,6.75,6.51,110.713,6.75,6.75,"132,270.00"
09/25/24,6.54,6.64,6.49,6.54,6.60,74.869,6.54,6.54,"133,463.00"
09/24/24,6.54,6.60,6.32,6.59,6.33,101.636,6.59,6.59,"125,047.00"
