position_id,entry_date,exit_date,contract,entry_price,exit_price,num_contracts,direction,directional_pnl,transaction_costs,net_pnl,exit_reason,holding_days,initial_stop,final_stop,highest_price,lowest_price,atr,carry_spread,carry_multiplier
1,2024-01-24,2024-01-25,HGH24,5.88,5.88,52,SHORT,0.0,3380.0,-3380.0,ROLL,1,6.0182142857142855,6.0182142857142855,,5.88,0.09714285714285717,0.020000000000000462,1.0
2,2024-01-25,2024-01-26,HGJ24,5.9,5.84,52,SHORT,78000.00000000065,3380.0,74620.00000000065,SIGNAL_REVERSAL,1,0.0,0.0,,5.84,0.09714285714285717,0.020000000000000462,1.0
3,2024-01-29,2024-01-30,HGJ24,5.88,5.94,13,LONG,19500.000000000164,845.0,18655.000000000164,SIGNAL_REVERSAL,1,5.741785714285714,5.805000000000001,5.94,,0.09357142857142861,0.020000000000000462,0.25
4,2024-02-05,2024-02-06,HGJ24,5.85,5.83,15,LONG,-7499.99999999984,975.0,-8474.99999999984,SIGNAL_REVERSAL,1,5.734285714285714,5.741785714285714,5.85,,0.07357142857142847,0.020000000000000462,0.25
5,2024-02-21,2024-02-22,HGJ24,5.93,5.97,28,LONG,28000.000000000025,1820.0,26180.000000000025,ROLL,1,5.803571428571428,5.844642857142857,5.97,,0.08499999999999996,0.010000000000000675,0.5
6,2024-02-22,2024-02-23,HGK24,5.98,5.93,28,LONG,-35000.000000000495,1820.0,-36820.000000000495,SIGNAL_REVERSAL,1,0.0,5.850357142857144,5.98,,0.08499999999999996,0.010000000000000675,0.5
7,2024-02-27,2024-02-28,HGK24,5.87,5.9,56,SHORT,-42000.00000000035,3640.0,-45640.00000000035,SIGNAL_REVERSAL,1,5.9975000000000005,5.992142857142857,,5.87,0.08499999999999996,0.009999999999999787,1.0
8,2024-03-05,2024-03-07,HGK24,5.9,5.93,30,LONG,22499.99999999952,1950.0,20549.99999999952,SIGNAL_REVERSAL,2,5.781071428571429,5.81,5.93,,0.0750000000000003,0.019999999999999574,0.5
9,2024-03-14,2024-03-15,HGK24,6.14,6.28,13,LONG,45500.00000000018,845.0,44655.00000000018,SIGNAL_REVERSAL,1,6.010357142857142,6.142857142857143,6.28,,0.08714285714285731,0.020000000000000462,0.25
10,2024-03-21,2024-03-22,HGK24,6.18,6.15,46,SHORT,34499.999999999265,2990.0,31509.999999999265,ROLL,1,6.335357142857142,6.315,,6.15,0.10642857142857144,0.020000000000000462,1.0
11,2024-03-22,2024-03-27,HGM24,6.17,6.13,46,SHORT,46000.000000000044,2990.0,43010.000000000044,SIGNAL_REVERSAL,5,0.0,0.0,,6.13,0.10642857142857144,0.020000000000000462,1.0
12,2024-03-28,2024-04-01,HGM24,6.14,6.26,11,LONG,33000.00000000003,715.0,32285.00000000003,SIGNAL_REVERSAL,4,5.976071428571428,6.14,6.26,,0.10857142857142861,0.03000000000000025,0.25
13,2024-04-08,2024-04-09,HGM24,6.5,6.48,53,SHORT,26499.999999999432,3445.0,23054.999999999432,SIGNAL_REVERSAL,1,6.638214285714286,6.634285714285714,,6.48,0.10071428571428566,0.019999999999999574,1.0
14,2024-04-10,2024-04-11,HGM24,6.57,6.55,47,SHORT,23500.000000000542,3055.0,20445.000000000542,SIGNAL_REVERSAL,1,6.724285714285714,6.7075,,6.55,0.10571428571428562,0.019999999999999574,1.0
15,2024-04-30,2024-05-01,HGM24,7.03,7.0,32,LONG,-24000.0000000002,2080.0,-26080.0000000002,SIGNAL_REVERSAL,1,6.802857142857143,6.802857142857143,7.03,,0.15785714285714286,0.0,1.0
16,2024-05-06,2024-05-07,HGM24,6.96,6.96,29,LONG,0.0,1885.0,-1885.0,SIGNAL_REVERSAL,1,6.711428571428572,6.7125,6.96,,0.16642857142857156,0.009999999999999787,1.0
17,2024-05-08,2024-05-09,HGM24,6.91,6.94,29,LONG,21750.000000000182,1885.0,19865.000000000182,SIGNAL_REVERSAL,1,6.6625,6.704285714285715,6.94,,0.16071428571428578,0.009999999999999787,1.0
18,2024-05-10,2024-05-13,HGM24,7.06,7.2,31,LONG,108500.00000000044,2015.0,106485.00000000044,SIGNAL_REVERSAL,3,6.824285714285714,6.950357142857143,7.2,,0.16357142857142856,-0.019999999999999574,1.0
19,2024-06-10,2024-06-11,HGM24,6.88,6.81,27,SHORT,47250.00000000019,1755.0,45495.00000000019,SIGNAL_REVERSAL,1,7.1553571428571425,7.08,,6.81,0.17857142857142858,0.009999999999999787,1.0
20,2024-06-14,2024-06-17,HGM24,6.76,6.72,30,SHORT,30000.00000000003,1950.0,28050.00000000003,SIGNAL_REVERSAL,3,7.0042857142857144,6.964285714285714,,6.72,0.16357142857142865,0.009999999999999787,1.0
21,2024-06-20,2024-06-25,HGM24,6.78,6.58,30,SHORT,150000.00000000015,1950.0,148050.00000000015,SIGNAL_REVERSAL,5,7.024285714285715,6.78,,6.58,0.15285714285714289,0.009999999999999787,1.0
22,2024-06-26,2024-06-27,HGM24,6.56,6.52,34,SHORT,34000.00000000003,2210.0,31790.00000000003,SIGNAL_REVERSAL,1,6.779642857142857,6.733214285714285,,6.52,0.14428571428571438,0.010000000000000675,1.0
23,2024-07-12,2024-07-15,HGM24,6.76,6.68,34,SHORT,68000.00000000006,2210.0,65790.00000000006,SIGNAL_REVERSAL,3,6.982857142857143,6.910357142857142,,6.68,0.1492857142857144,0.0,1.0
24,2024-07-17,2024-07-18,HGM24,6.55,6.36,33,SHORT,156749.9999999996,2145.0,154604.9999999996,STOP_LIMIT_FILLED,1,6.779285714285714,6.55,,6.36,0.15571428571428583,0.0,1.0
25,2024-07-19,2024-07-22,HGM24,6.33,6.32,30,SHORT,7499.99999999984,1950.0,5549.99999999984,SIGNAL_REVERSAL,3,6.581785714285715,6.568571428571429,,6.32,0.16428571428571445,0.009999999999999787,1.0
26,2024-08-02,2024-08-05,HGM24,6.31,6.19,42,SHORT,125999.99999999919,2730.0,123269.99999999919,STOP_LIMIT_FILLED,3,6.4921428571428565,6.387142857142857,,6.19,0.12142857142857137,0.03000000000000025,1.0
27,2024-08-08,2024-08-09,HGM24,6.04,6.08,40,SHORT,-40000.00000000004,2600.0,-42600.00000000004,SIGNAL_REVERSAL,1,6.236071428571428,6.233928571428571,,6.04,0.13214285714285698,0.03000000000000025,1.0
28,2024-08-14,2024-08-15,HGM24,6.11,6.26,40,SHORT,-149999.99999999948,2600.0,-152599.99999999948,SIGNAL_REVERSAL,1,6.303928571428572,6.303928571428572,,6.11,0.12357142857142847,0.02999999999999936,1.0
29,2024-08-20,2024-08-21,HGM24,6.18,6.23,9,LONG,11250.00000000016,585.0,10665.00000000016,SIGNAL_REVERSAL,1,5.983928571428572,6.055357142857144,6.23,,0.12571428571428558,0.03000000000000025,0.25
30,2024-08-21,2024-08-22,HGM24,6.23,6.19,41,SHORT,41000.00000000004,2665.0,38335.00000000004,SIGNAL_REVERSAL,1,6.418571428571429,6.366785714285714,,6.19,0.1164285714285713,0.019999999999999574,1.0
31,2024-08-26,2024-08-27,HGM24,6.25,6.28,12,LONG,9000.000000000075,780.0,8220.000000000075,SIGNAL_REVERSAL,1,6.090357142857143,6.138571428571429,6.28,,0.10285714285714276,0.03000000000000025,0.25
32,2024-08-30,2024-09-03,HGM24,6.14,6.06,51,SHORT,102000.00000000009,3315.0,98685.00000000009,SIGNAL_REVERSAL,4,6.291071428571429,6.196071428571428,,6.06,0.10000000000000002,0.03000000000000025,1.0
33,2024-09-13,2024-09-16,HGM24,6.27,6.31,11,LONG,11000.000000000011,715.0,10285.000000000011,SIGNAL_REVERSAL,3,6.094285714285714,6.121428571428571,6.31,,0.11785714285714276,0.040000000000000036,0.25
34,2024-09-17,2024-09-18,HGM24,6.28,6.31,10,LONG,7499.99999999984,650.0,6849.99999999984,SIGNAL_REVERSAL,1,6.091428571428572,6.1257142857142854,6.31,,0.12571428571428564,0.040000000000000036,0.25
35,2024-10-14,2024-10-17,HGM24,6.55,6.45,6,LONG,-14999.999999999945,390.0,-15389.999999999945,SIGNAL_REVERSAL,3,6.2596428571428575,6.289642857142857,6.55,,0.18357142857142858,0.020000000000000462,0.25
36,2024-10-21,2024-10-22,HGM24,6.53,6.56,8,LONG,5999.999999999872,520.0,5479.999999999872,SIGNAL_REVERSAL,1,6.296428571428572,6.332857142857143,6.56,,0.1564285714285714,0.02999999999999936,0.25
37,2024-11-01,2024-11-04,HGM24,6.66,6.72,25,LONG,37499.99999999975,1625.0,35874.99999999975,SIGNAL_REVERSAL,3,6.507857142857143,6.572142857142857,6.72,,0.0971428571428571,0.019999999999999574,0.5
38,2024-11-08,2024-11-11,HGM24,6.54,6.46,10,LONG,-20000.00000000002,650.0,-20650.00000000002,SIGNAL_REVERSAL,3,6.3567857142857145,6.3567857142857145,6.54,,0.1257142857142857,0.03000000000000025,0.25
39,2024-11-26,2024-11-27,HGM24,6.3,6.31,8,LONG,1999.9999999999573,520.0,1479.9999999999573,RISK_SCANNER: Structure shock: z-score=3.02,1,6.0771428571428565,6.0771428571428565,6.3,,0.13071428571428573,0.040000000000000036,0.25
40,2024-11-29,2024-12-02,HGM24,6.3,6.38,11,LONG,22000.000000000022,715.0,21285.000000000022,SIGNAL_REVERSAL,3,6.128571428571428,6.3,6.38,,0.10428571428571429,0.03000000000000025,0.25
41,2024-12-04,2024-12-05,HGM24,6.5,6.49,19,LONG,-4749.999999999898,1235.0,-5984.999999999898,SIGNAL_REVERSAL,1,6.397142857142857,6.4035714285714285,6.5,,0.06714285714285724,0.03000000000000025,0.25
