position_id,entry_date,exit_date,contract,entry_price,exit_price,num_contracts,direction,directional_pnl,transaction_costs,net_pnl,exit_reason,holding_days,initial_stop,final_stop,highest_price,lowest_price,atr,carry_spread,carry_multiplier
1,2025-01-07,2025-01-08,HGH25,6.72,6.86,11,LONG,38500.00000000015,715.0,37785.00000000015,STOP_LIMIT_FILLED,1,6.561428571428571,6.72,6.86,,0.10857142857142861,0.020000000000000462,0.25
2,2025-01-15,2025-01-16,HGH25,7.05,7.14,9,LONG,20249.999999999967,585.0,19664.999999999967,SIGNAL_REVERSAL,1,6.866785714285714,6.947142857142857,7.14,,0.1257142857142857,0.020000000000000462,0.25
3,2025-01-22,2025-01-23,HGH25,6.86,6.9,8,LONG,8000.000000000007,520.0,7480.000000000007,SIGNAL_REVERSAL,1,6.645714285714286,6.684642857142857,6.9,,0.14285714285714285,0.02999999999999936,0.25
4,2025-01-27,2025-01-28,HGH25,6.73,6.8,8,LONG,13999.99999999988,520.0,13479.99999999988,ROLL,1,6.509285714285714,6.59,6.8,,0.14857142857142863,0.03999999999999915,0.25
5,2025-01-28,2025-01-29,HGJ25,6.84,6.88,8,LONG,8000.000000000007,520.0,7480.000000000007,SIGNAL_REVERSAL,1,0.0,6.663571428571428,6.88,,0.14857142857142863,0.03999999999999915,0.25
6,2025-02-05,2025-02-07,HGJ25,7.09,7.35,10,LONG,64999.99999999994,650.0,64349.99999999994,STOP_LIMIT_FILLED,2,6.919642857142857,7.158214285714285,7.35,,0.117142857142857,0.03000000000000025,0.25
7,2025-02-14,2025-02-18,HGJ25,7.37,7.27,8,LONG,-20000.000000000106,520.0,-20520.000000000106,SIGNAL_REVERSAL,4,7.141785714285715,7.141785714285715,7.37,,0.1678571428571427,0.040000000000000036,0.25
8,2025-02-18,2025-02-21,HGJ25,7.27,7.2,28,SHORT,48999.99999999958,1820.0,47179.99999999958,ROLL,3,7.521785714285714,7.456071428571429,,7.2,0.17214285714285696,0.040000000000000036,1.0
9,2025-02-21,2025-02-24,HGK25,7.24,7.14,28,SHORT,70000.00000000036,1820.0,68180.00000000036,SIGNAL_REVERSAL,3,0.0,0.0,,7.14,0.17214285714285696,0.040000000000000036,1.0
10,2025-03-04,2025-03-05,HGK25,7.34,7.6,6,LONG,38999.99999999997,390.0,38609.99999999997,STOP_LIMIT_FILLED,1,7.051785714285714,7.34,7.6,,0.18714285714285703,0.040000000000000036,0.25
11,2025-03-06,2025-03-24,HGK25,7.57,8.11,6,LONG,80999.99999999987,390.0,80609.99999999987,ROLL,18,7.264642857142857,7.857857142857143,8.16,,0.20428571428571418,0.02999999999999936,0.25
12,2025-03-24,2025-03-31,HGM25,8.14,8.08,6,LONG,-9000.000000000075,390.0,-9390.000000000075,STOP_LIMIT_FILLED,7,0.0,8.032857142857143,8.32,,0.20428571428571418,0.02999999999999936,0.25
13,2025-04-03,2025-04-04,HGM25,7.61,7.29,7,LONG,-56000.00000000005,455.0,-56455.00000000005,STOP_LIMIT_FILLED,1,7.349642857142857,7.349642857142857,7.61,,0.19428571428571415,0.040000000000000036,0.25
14,2025-04-07,2025-04-08,HGM25,7.0,6.92,21,SHORT,42000.00000000004,1365.0,40635.00000000004,SIGNAL_REVERSAL,1,7.351428571428571,7.349642857142857,,6.92,0.27071428571428574,0.040000000000000036,1.0
15,2025-04-29,2025-04-30,HGM25,7.6,7.16,2,LONG,-21999.999999999975,130.0,-22129.999999999975,ROLL,1,7.168214285714285,7.212142857142856,7.6,,0.27071428571428585,0.040000000000000036,0.25
16,2025-04-30,2025-05-01,HGN25,7.2,7.25,2,LONG,2499.999999999991,130.0,2369.999999999991,SIGNAL_REVERSAL,1,0.0,6.877142857142857,7.25,,0.27071428571428585,0.040000000000000036,0.25
