position_id,entry_date,exit_date,contract,entry_price,exit_price,num_contracts,direction,directional_pnl,transaction_costs,net_pnl,exit_reason,holding_days,stop_loss,atr,carry_spread,carry_multiplier
1,2024-01-11,2024-01-12,HGH24,5.69,5.66,7,LONG,-5250.000000000044,455.0,-5705.000000000044,SIGNAL_REVERSAL,1,5.5625,0.08357142857142863,0.020000000000000462,0.25
2,2024-01-16,2024-01-17,HGH24,5.73,5.77,7,LONG,6999.999999999851,455.0,6544.999999999851,SIGNAL_REVERSAL,1,5.599285714285715,0.09357142857142861,0.020000000000000462,0.25
3,2024-01-17,2024-01-18,HGH24,5.77,5.71,28,SHORT,41999.99999999972,1820.0,40179.99999999972,SIGNAL_REVERSAL,1,5.910357142857142,0.09357142857142854,0.020000000000000462,1.0
4,2024-01-19,2024-01-22,HGH24,5.71,5.75,29,SHORT,-29000.000000000025,1885.0,-30885.000000000025,SIGNAL_REVERSAL,3,5.845,0.09000000000000005,0.019999999999999574,1.0
5,2024-01-24,2024-01-25,HGH24,5.76,5.89,28,SHORT,-90999.99999999993,1820.0,-92819.99999999993,ROLL,1,5.898214285714285,0.09714285714285717,0.020000000000000462,1.0
6,2024-01-25,2024-01-26,HGJ24,5.9,5.87,28,SHORT,21000.000000000175,1820.0,19180.000000000175,SIGNAL_REVERSAL,1,,0.09714285714285717,0.020000000000000462,1.0
7,2024-01-29,2024-01-30,HGJ24,5.84,5.9,7,LONG,10500.000000000087,455.0,10045.000000000087,SIGNAL_REVERSAL,1,5.701785714285714,0.09357142857142861,0.020000000000000462,0.25
8,2024-01-31,2024-02-02,HGJ24,5.92,5.93,14,LONG,3499.9999999999254,910.0,2589.9999999999254,SIGNAL_REVERSAL,2,5.785,0.09357142857142861,0.019999999999999574,0.5
9,2024-02-05,2024-02-06,HGJ24,5.92,5.82,8,LONG,-19999.999999999927,520.0,-20519.999999999927,SIGNAL_REVERSAL,1,5.804285714285714,0.07357142857142847,0.020000000000000462,0.25
10,2024-02-15,2024-02-22,HGJ24,5.7,5.94,8,LONG,48000.000000000044,520.0,47480.000000000044,ROLL,7,5.5789285714285715,0.08214285714285717,0.020000000000000462,0.25
11,2024-02-22,2024-02-23,HGK24,5.95,5.95,8,LONG,0.0,520.0,-520.0,SIGNAL_REVERSAL,1,,0.08214285714285717,0.020000000000000462,0.25
12,2024-02-27,2024-02-28,HGK24,5.85,5.91,31,SHORT,-46500.000000000386,2015.0,-48515.000000000386,SIGNAL_REVERSAL,1,5.977499999999999,0.08499999999999996,0.009999999999999787,1.0
13,2024-03-01,2024-03-13,HGK24,5.89,5.95,16,LONG,24000.0000000002,1040.0,22960.0000000002,SIGNAL_REVERSAL,12,5.765714285714285,0.08142857142857166,0.019999999999999574,0.5
14,2024-03-14,2024-03-15,HGK24,6.17,6.17,7,LONG,0.0,455.0,-455.0,SIGNAL_REVERSAL,1,6.040357142857142,0.08714285714285731,0.020000000000000462,0.25
15,2024-03-21,2024-03-22,HGK24,6.23,6.24,25,SHORT,-6249.999999999866,1625.0,-7874.999999999866,ROLL,1,6.385357142857143,0.10642857142857144,0.020000000000000462,1.0
16,2024-03-22,2024-03-27,HGM24,6.21,6.14,25,SHORT,43750.000000000175,1625.0,42125.000000000175,SIGNAL_REVERSAL,5,,0.10642857142857144,0.020000000000000462,1.0
17,2024-03-28,2024-04-01,HGM24,6.15,6.27,6,LONG,17999.999999999884,390.0,17609.999999999884,SIGNAL_REVERSAL,4,5.986071428571429,0.10857142857142861,0.03000000000000025,0.25
18,2024-04-05,2024-04-08,HGM24,6.45,6.41,7,LONG,-7000.000000000006,455.0,-7455.000000000006,SIGNAL_REVERSAL,3,6.3064285714285715,0.09214285714285708,0.020000000000000462,0.25
19,2024-04-08,2024-04-09,HGM24,6.41,6.548214285714286,29,SHORT,-100205.35714285707,1885.0,-102090.35714285707,STOP_LOSS,1,6.548214285714286,0.10071428571428566,0.019999999999999574,1.0
20,2024-04-10,2024-04-12,HGM24,6.6,6.754285714285714,25,SHORT,-96428.57142857119,1625.0,-98053.57142857119,STOP_LOSS,2,6.754285714285714,0.10571428571428562,0.019999999999999574,1.0
21,2024-04-24,2024-04-25,HGM24,6.84,6.89,4,LONG,4999.999999999982,260.0,4739.999999999982,ROLL,1,6.619285714285714,0.14928571428571433,0.020000000000000462,0.25
22,2024-04-25,2024-04-26,HGN24,6.9,6.98,4,LONG,8000.000000000007,260.0,7740.000000000007,SIGNAL_REVERSAL,1,,0.14928571428571433,0.020000000000000462,0.25
23,2024-04-29,2024-05-01,HGN24,6.98,7.0,17,LONG,8499.999999999818,1105.0,7394.999999999818,SIGNAL_REVERSAL,2,6.758214285714287,0.15142857142857144,0.009999999999999787,1.0
24,2024-05-03,2024-05-07,HGN24,6.81,6.96,7,LONG,26250.000000000065,455.0,25795.000000000065,SIGNAL_REVERSAL,4,6.555,0.1657142857142858,0.010000000000000675,0.5
25,2024-05-08,2024-05-09,HGN24,6.98,6.87,15,LONG,-41250.000000000124,975.0,-42225.000000000124,SIGNAL_REVERSAL,1,6.7325,0.16071428571428578,0.009999999999999787,1.0
26,2024-05-10,2024-05-13,HGN24,6.97,7.03,16,LONG,24000.0000000002,1040.0,22960.0000000002,SIGNAL_REVERSAL,3,6.734285714285714,0.16357142857142856,-0.019999999999999574,1.0
27,2024-05-15,2024-05-16,HGN24,7.35,7.37,3,SHORT,-1500.0000000000346,195.0,-1695.0000000000346,SIGNAL_REVERSAL,1,7.628571428571428,0.20571428571428577,-0.17999999999999972,0.25
