roll_id,roll_date,from_contract,to_contract,exit_price,entry_price,num_contracts,roll_spread,roll_pnl,fnd_date,days_before_fnd
1,2024-01-24,HGH24,HGJ24,5.88,5.9,28,0.020000000000000462,-14000.000000000324,2024-01-31,5
2,2024-01-25,HGJ24,HGJ24,5.88,5.9,6,0.020000000000000462,-3000.000000000069,2024-01-31,5
3,2024-01-29,HGH24,HGJ24,5.88,5.9,7,0.020000000000000462,-3500.000000000081,2024-01-31,5
4,2024-01-31,HGH24,HGJ24,5.91,5.93,14,0.019999999999999574,-6999.999999999851,2024-01-31,5
5,2024-02-27,HGJ24,HGK24,5.87,5.88,31,0.009999999999999787,-7749.9999999998345,2024-02-29,5
6,2024-03-21,HGK24,HGM24,6.18,6.2,26,0.020000000000000462,-13000.0000000003,2024-03-28,5
7,2024-03-22,HGM24,HGM24,6.15,6.17,6,0.019999999999999574,-2999.999999999936,2024-03-28,5
8,2024-03-25,HGM24,HGM24,6.14,6.17,24,0.03000000000000025,-18000.00000000015,2024-03-28,5
9,2024-03-26,HGM24,HGM24,6.13,6.16,24,0.03000000000000025,-18000.00000000015,2024-03-28,5
10,2024-03-28,HGK24,HGM24,6.14,6.17,6,0.03000000000000025,-4500.000000000037,2024-03-28,5
11,2024-04-24,HGM24,HGN24,6.89,6.91,9,0.020000000000000462,-4500.000000000104,2024-04-30,5
12,2024-04-29,HGM24,HGN24,7.12,7.13,18,0.009999999999999787,-4499.999999999904,2024-04-30,5
13,2024-04-30,HGN24,HGN24,7.03,7.03,18,0.0,-0.0,2024-04-30,5
14,2024-05-23,HGN24,HGQ24,7.23,7.2,2,-0.03000000000000025,1500.0000000000125,2024-05-31,5
15,2024-05-28,HGN24,HGQ24,7.29,7.27,5,-0.020000000000000462,2500.0000000000578,2024-05-31,5
16,2024-05-30,HGN24,HGQ24,7.01,7.01,9,0.0,-0.0,2024-05-31,5
17,2024-06-21,HGQ24,HGU24,6.67,6.67,16,0.0,-0.0,2024-06-28,5
18,2024-06-24,HGU24,HGU24,6.65,6.65,16,0.0,-0.0,2024-06-28,5
19,2024-06-26,HGQ24,HGU24,6.56,6.57,18,0.010000000000000675,-4500.000000000304,2024-06-28,5
20,2024-06-27,HGU24,HGU24,6.52,6.53,18,0.010000000000000675,-4500.000000000304,2024-06-28,5
21,2024-07-25,HGU24,HGV24,6.3,6.31,16,0.009999999999999787,-3999.9999999999145,2024-07-31,5
22,2024-07-29,HGU24,HGV24,6.25,6.27,8,0.019999999999999574,-3999.9999999999145,2024-07-31,5
23,2024-08-26,HGV24,HGX24,6.25,6.28,6,0.03000000000000025,-4500.000000000037,2024-08-30,5
24,2024-08-30,HGV24,HGX24,6.14,6.17,25,0.03000000000000025,-18750.000000000156,2024-08-30,5
25,2024-09-23,HGX24,HGZ24,6.31,6.35,5,0.040000000000000036,-5000.000000000005,2024-09-30,5
26,2024-09-24,HGZ24,HGZ24,6.5,6.54,5,0.040000000000000036,-5000.000000000005,2024-09-30,5
27,2024-09-25,HGZ24,HGZ24,6.5,6.54,5,0.040000000000000036,-5000.000000000005,2024-09-30,5
28,2024-09-27,HGX24,HGZ24,6.59,6.64,4,0.04999999999999982,-4999.999999999982,2024-09-30,5
29,2024-09-30,HGZ24,HGZ24,6.52,6.56,4,0.040000000000000036,-4000.0000000000036,2024-09-30,5
30,2024-10-25,HGZ24,HGF25,6.58,6.6,4,0.019999999999999574,-1999.9999999999573,2024-10-31,5
31,2024-10-28,HGF25,HGF25,6.62,6.64,4,0.019999999999999574,-1999.9999999999573,2024-10-31,5
32,2024-11-26,HGF25,HGG25,6.3,6.34,4,0.040000000000000036,-4000.0000000000036,2024-11-29,5
33,2024-11-29,HGF25,HGG25,6.3,6.33,5,0.03000000000000025,-3750.0000000000314,2024-11-29,5
