position_id,entry_date,exit_date,contract,entry_price,exit_price,num_contracts,direction,directional_pnl,transaction_costs,net_pnl,exit_reason,holding_days,initial_stop,final_stop,highest_price,lowest_price,atr,carry_spread,carry_multiplier
1,2025-01-07,2025-01-08,HGH25,6.72,6.86,6,LONG,21000.000000000084,390.0,20610.000000000084,STOP_LIMIT_FILLED,1,6.561428571428571,6.72,6.86,,0.10857142857142861,0.020000000000000462,0.25
2,2025-01-15,2025-01-17,HGH25,7.05,7.02,5,LONG,-3750.0000000000314,325.0,-4075.0000000000314,SIGNAL_REVERSAL,2,6.866785714285714,6.947142857142857,7.14,,0.1257142857142857,0.020000000000000462,0.25
3,2025-01-22,2025-01-23,HGH25,6.86,6.9,4,LONG,4000.0000000000036,260.0,3740.0000000000036,SIGNAL_REVERSAL,1,6.645714285714286,6.684642857142857,6.9,,0.14285714285714285,0.02999999999999936,0.25
4,2025-01-27,2025-01-28,HGH25,6.73,6.8,4,LONG,6999.99999999994,260.0,6739.99999999994,ROLL,1,6.509285714285714,6.59,6.8,,0.14857142857142863,0.03999999999999915,0.25
5,2025-01-28,2025-01-29,HGJ25,6.84,6.88,4,LONG,4000.0000000000036,260.0,3740.0000000000036,SIGNAL_REVERSAL,1,0.0,6.663571428571428,6.88,,0.14857142857142863,0.03999999999999915,0.25
6,2025-01-29,2025-01-30,HGJ25,6.88,6.91,19,SHORT,-14250.000000000118,1235.0,-15485.000000000118,SIGNAL_REVERSAL,1,7.09,7.09,,6.88,0.14428571428571432,0.040000000000000036,1.0
7,2025-02-05,2025-02-07,HGJ25,7.09,7.35,5,LONG,32499.99999999997,325.0,32174.99999999997,STOP_LIMIT_FILLED,2,6.919642857142857,7.158214285714285,7.35,,0.117142857142857,0.03000000000000025,0.25
8,2025-02-10,2025-02-11,HGJ25,7.52,7.35,5,LONG,-21249.999999999993,325.0,-21574.999999999993,STOP_LIMIT_FILLED,1,7.328214285714285,7.328214285714285,7.52,,0.12857142857142842,0.040000000000000036,0.25
9,2025-02-12,2025-02-14,HGJ25,7.53,7.37,4,LONG,-16000.000000000015,260.0,-16260.000000000015,STOP_LIMIT_FILLED,2,7.32,7.391785714285715,7.62,,0.14785714285714274,0.040000000000000036,0.25
10,2025-02-18,2025-02-21,HGJ25,7.27,7.2,15,SHORT,26249.999999999774,975.0,25274.999999999774,ROLL,3,7.521785714285714,7.456071428571429,,7.2,0.17214285714285696,0.040000000000000036,1.0
11,2025-02-21,2025-02-24,HGK25,7.24,7.14,15,SHORT,37500.0000000002,975.0,36525.0000000002,SIGNAL_REVERSAL,3,0.0,0.0,,7.14,0.17214285714285696,0.040000000000000036,1.0
12,2025-02-24,2025-02-28,HGK25,7.14,7.28,3,LONG,10500.000000000042,195.0,10305.000000000042,SIGNAL_REVERSAL,4,6.883928571428571,7.14,7.35,,0.1635714285714284,0.040000000000000036,0.25
13,2025-03-03,2025-03-05,HGK25,7.38,7.6,3,LONG,16499.99999999998,195.0,16304.999999999982,STOP_LIMIT_FILLED,2,7.088571428571429,7.38,7.6,,0.19214285714285703,0.040000000000000036,0.25
14,2025-03-06,2025-03-24,HGK25,7.57,8.11,3,LONG,40499.999999999935,195.0,40304.999999999935,ROLL,18,7.264642857142857,7.857857142857143,8.16,,0.20428571428571418,0.02999999999999936,0.25
15,2025-03-24,2025-03-31,HGM25,8.14,8.08,3,LONG,-4500.000000000037,195.0,-4695.000000000037,STOP_LIMIT_FILLED,7,0.0,8.032857142857143,8.32,,0.20428571428571418,0.02999999999999936,0.25
16,2025-04-04,2025-04-07,HGM25,7.29,7.0,3,LONG,-21750.000000000004,195.0,-21945.000000000004,STOP_LIMIT_FILLED,3,6.998571428571429,6.998571428571429,7.29,,0.23428571428571424,0.040000000000000036,0.25
17,2025-04-08,2025-04-09,HGM25,6.92,7.03,9,SHORT,-24750.000000000073,585.0,-25335.000000000073,STOP_LIMIT_FILLED,1,7.326071428571429,7.326071428571429,,6.92,0.2864285714285715,0.040000000000000036,1.0
18,2025-04-11,2025-04-14,HGM25,7.29,7.35,1,LONG,1499.9999999999902,65.0,1434.9999999999902,SIGNAL_REVERSAL,3,6.760714285714286,6.797142857142857,7.35,,0.36642857142857144,0.040000000000000036,0.25
19,2025-04-15,2025-04-16,HGM25,7.3,7.38,1,LONG,2000.0000000000018,65.0,1935.0000000000018,SIGNAL_REVERSAL,1,6.747142857142857,6.8325,7.38,,0.36785714285714294,0.040000000000000036,0.25
20,2025-04-17,2025-04-22,HGM25,7.48,7.67,7,SHORT,-33249.99999999991,455.0,-33704.99999999991,SIGNAL_REVERSAL,5,8.0275,7.9628571428571435,,7.41,0.3735714285714286,0.03999999999999915,1.0
21,2025-04-22,2025-04-23,HGM25,7.67,7.6,1,LONG,-1750.000000000007,65.0,-1815.000000000007,ROLL,1,7.1171428571428565,7.1171428571428565,7.67,,0.37928571428571434,0.040000000000000036,0.25
22,2025-04-23,2025-04-24,HGN25,7.64,7.63,1,LONG,-249.99999999999466,65.0,-314.99999999999466,SIGNAL_REVERSAL,1,0.0,7.1085714285714285,7.64,,0.37928571428571434,0.040000000000000036,0.25
23,2025-04-24,2025-04-25,HGN25,7.63,7.62,7,SHORT,1749.9999999999627,455.0,1294.9999999999627,SIGNAL_REVERSAL,1,8.1925,8.098928571428571,,7.62,0.3542857142857144,0.040000000000000036,1.0
24,2025-04-25,2025-04-28,HGN25,7.62,7.57,1,LONG,-1249.9999999999955,65.0,-1314.9999999999955,SIGNAL_REVERSAL,3,7.088571428571429,7.1882142857142854,7.62,,0.3192857142857144,0.040000000000000036,0.25
25,2025-04-30,2025-05-01,HGN25,7.16,7.25,9,SHORT,-20249.999999999967,585.0,-20834.999999999967,SIGNAL_REVERSAL,1,7.566071428571429,7.532857142857143,,7.16,0.2585714285714288,0.040000000000000036,1.0
26,2025-05-02,2025-05-09,HGN25,7.23,7.25,2,LONG,999.9999999999786,130.0,869.9999999999786,STOP_LIMIT_FILLED,7,6.857142857142858,7.036785714285714,7.37,,0.23500000000000018,0.02999999999999936,0.25
27,2025-05-12,2025-05-13,HGN25,7.25,7.31,2,LONG,2999.9999999999804,130.0,2869.9999999999804,SIGNAL_REVERSAL,1,6.8932142857142855,6.959642857142857,7.31,,0.23214285714285715,0.040000000000000036,0.25
28,2025-05-14,2025-05-22,HGN25,7.2,7.29,2,LONG,4499.999999999993,130.0,4369.999999999993,ROLL,8,6.849642857142857,7.000357142857142,7.31,,0.23642857142857146,0.040000000000000036,0.25
29,2025-05-22,2025-06-04,HGQ25,7.34,7.56,2,LONG,10999.999999999987,130.0,10869.999999999987,SIGNAL_REVERSAL,13,0.0,7.34,7.56,,0.23642857142857146,0.040000000000000036,0.25
30,2025-06-05,2025-06-13,HGQ25,7.6,7.45,3,LONG,-11249.99999999996,195.0,-11444.99999999996,STOP_LIMIT_FILLED,8,7.345,7.3675,7.6,,0.17642857142857155,0.040000000000000036,0.25
31,2025-06-16,2025-06-20,HGQ25,7.44,7.51,4,LONG,6999.99999999994,260.0,6739.99999999994,SIGNAL_REVERSAL,4,7.2075000000000005,7.290357142857143,7.51,,0.14999999999999997,0.040000000000000036,0.25
32,2025-06-23,2025-06-24,HGQ25,7.58,7.53,4,LONG,-4999.999999999982,260.0,-5259.999999999982,ROLL,1,7.3603571428571435,7.376428571428572,7.58,,0.13642857142857132,0.040000000000000036,0.25
33,2025-06-24,2025-06-26,HGU25,7.57,7.78,4,LONG,20999.999999999996,260.0,20739.999999999996,STOP_LIMIT_FILLED,2,0.0,7.578571428571429,7.78,,0.13642857142857132,0.040000000000000036,0.25
34,2025-06-27,2025-06-30,HGU25,7.81,7.71,4,LONG,-9999.999999999964,260.0,-10259.999999999964,SIGNAL_REVERSAL,3,7.6085714285714285,7.6085714285714285,7.81,,0.13571428571428568,0.040000000000000036,0.25
35,2025-07-01,2025-07-03,HGU25,7.76,7.83,3,LONG,5250.000000000021,195.0,5055.000000000021,SIGNAL_REVERSAL,2,7.5060714285714285,7.658571428571428,7.92,,0.17428571428571424,0.03000000000000025,0.25
36,2025-07-07,2025-07-14,HGU25,7.72,8.47,15,SHORT,-281250.00000000035,975.0,-282225.00000000035,SIGNAL_REVERSAL,7,7.981428571428571,7.981428571428571,,7.72,0.1714285714285714,0.03000000000000025,1.0
37,2025-07-16,2025-07-17,HGU25,8.49,8.51,8,SHORT,-3999.9999999999145,520.0,-4519.9999999999145,SIGNAL_REVERSAL,1,8.941071428571428,8.927142857142858,,8.49,0.305,0.02999999999999936,1.0
38,2025-07-18,2025-07-21,HGU25,8.59,8.64,8,SHORT,-10000.000000000142,520.0,-10520.000000000142,SIGNAL_REVERSAL,3,9.027142857142858,9.027142857142858,,8.59,0.29142857142857137,0.02999999999999936,1.0
39,2025-07-22,2025-07-24,HGU25,8.74,8.78,2,LONG,1999.9999999999573,130.0,1869.9999999999573,ROLL,2,8.299642857142857,8.375,8.84,,0.3021428571428571,0.02999999999999936,0.25
40,2025-07-24,2025-07-25,HGV25,8.81,8.82,2,LONG,499.9999999999893,130.0,369.9999999999893,SIGNAL_REVERSAL,1,0.0,8.344285714285714,8.82,,0.3021428571428571,0.02999999999999936,0.25
41,2025-07-29,2025-07-30,HGV25,8.65,8.65,9,SHORT,0.0,585.0,-585.0,SIGNAL_REVERSAL,1,9.042142857142856,9.042142857142856,,8.65,0.2414285714285715,0.02999999999999936,1.0
42,2025-07-31,2025-08-04,HGV25,6.76,6.89,7,SHORT,-22749.99999999998,455.0,-23204.99999999998,SIGNAL_REVERSAL,4,7.3149999999999995,7.218571428571429,,6.76,0.3857142857142858,0.040000000000000036,1.0
43,2025-08-04,2025-08-05,HGV25,6.89,6.82,2,LONG,-3499.99999999997,130.0,-3629.99999999997,SIGNAL_REVERSAL,1,6.423928571428571,6.428214285714286,6.89,,0.3057142857142859,0.03000000000000025,0.25
44,2025-08-05,2025-08-06,HGV25,6.82,6.83,8,SHORT,-1999.9999999999573,520.0,-2519.9999999999573,SIGNAL_REVERSAL,1,7.278571428571429,7.278571428571429,,6.82,0.30785714285714294,0.02999999999999936,1.0
45,2025-08-06,2025-08-07,HGV25,6.83,6.8,2,LONG,-1500.0000000000125,130.0,-1630.0000000000125,SIGNAL_REVERSAL,1,6.368214285714286,6.376785714285714,6.83,,0.3071428571428572,0.03000000000000025,0.25
46,2025-08-07,2025-08-11,HGV25,6.8,6.86,8,SHORT,-12000.0000000001,520.0,-12520.0000000001,SIGNAL_REVERSAL,4,7.260714285714286,7.2275,,6.8,0.30214285714285716,0.040000000000000036,1.0
47,2025-08-11,2025-08-12,HGV25,6.86,6.98,2,LONG,6000.0000000000055,130.0,5870.0000000000055,SIGNAL_REVERSAL,1,6.4089285714285715,6.5685714285714285,6.98,,0.28500000000000014,0.02999999999999936,0.25
48,2025-08-13,2025-08-15,HGV25,6.9,6.92,2,LONG,999.9999999999786,130.0,869.9999999999786,SIGNAL_REVERSAL,2,6.488571428571428,6.569999999999999,6.93,,0.2664285714285716,0.02999999999999936,0.25
49,2025-08-15,2025-08-18,HGV25,6.92,6.93,9,SHORT,-2249.999999999952,585.0,-2834.999999999952,SIGNAL_REVERSAL,3,7.314285714285714,7.276785714285714,,6.92,0.24000000000000002,0.040000000000000036,1.0
50,2025-08-18,2025-08-19,HGV25,6.93,6.88,2,LONG,-2499.999999999991,130.0,-2629.999999999991,SIGNAL_REVERSAL,1,6.569999999999999,6.758571428571428,6.93,,0.23785714285714285,0.03000000000000025,0.25
51,2025-08-22,2025-08-25,HGV25,6.9,6.93,32,SHORT,-23999.999999999487,2080.0,-26079.999999999487,ROLL,3,7.021071428571429,7.013571428571429,,6.9,0.08142857142857134,0.040000000000000036,1.0
52,2025-08-25,2025-08-26,HGX25,6.96,6.91,32,SHORT,39999.999999999854,2080.0,37919.999999999854,SIGNAL_REVERSAL,1,0.0,0.0,,6.91,0.08142857142857134,0.040000000000000036,1.0
53,2025-08-27,2025-09-02,HGX25,6.85,7.08,8,LONG,46000.00000000009,520.0,45480.00000000009,STOP_LIMIT_FILLED,6,6.736428571428571,6.953571428571428,7.08,,0.0821428571428571,0.040000000000000036,0.25
54,2025-09-03,2025-09-04,HGX25,7.04,6.97,30,SHORT,52500.00000000021,1950.0,50550.00000000021,SIGNAL_REVERSAL,1,7.166428571428572,7.0996428571428565,,6.97,0.08500000000000003,0.040000000000000036,1.0
55,2025-09-04,2025-09-05,HGX25,6.97,6.9,7,LONG,-12249.999999999894,455.0,-12704.999999999894,SIGNAL_REVERSAL,1,6.842499999999999,6.842499999999999,6.97,,0.08642857142857142,0.040000000000000036,0.25
56,2025-09-08,2025-09-17,HGX25,6.89,6.91,7,LONG,3500.000000000081,455.0,3045.000000000081,STOP_LIMIT_FILLED,9,6.753928571428571,6.9075,7.05,,0.08928571428571429,0.03000000000000025,0.25
57,2025-09-18,2025-09-19,HGX25,6.92,6.98,6,LONG,9000.000000000075,390.0,8610.000000000075,SIGNAL_REVERSAL,1,6.773214285714285,6.839642857142858,6.98,,0.09357142857142867,0.040000000000000036,0.25
58,2025-09-23,2025-09-24,HGX25,6.99,7.26,7,LONG,47249.99999999993,455.0,46794.99999999993,ROLL,1,6.860357142857143,7.108928571428571,7.26,,0.08285714285714293,0.040000000000000036,0.25
59,2025-09-24,2025-09-25,HGZ25,7.3,7.23,7,LONG,-12249.999999999894,455.0,-12704.999999999894,SIGNAL_REVERSAL,1,0.0,7.133928571428571,7.3,,0.08285714285714293,0.040000000000000036,0.25
60,2025-09-26,2025-09-29,HGZ25,7.25,7.4,23,SHORT,-86250.0000000002,1495.0,-87745.0000000002,STOP_LIMIT_FILLED,3,7.416071428571429,7.416071428571429,,7.25,0.11571428571428578,0.040000000000000036,1.0
61,2025-09-30,2025-10-31,HGZ25,7.29,7.29,5,LONG,0.0,325.0,-325.0,END_OF_BACKTEST,31,7.097142857142857,7.097142857142857,7.29,,0.13500000000000004,0.040000000000000036,0.25
